"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9"
"MESOS-9055",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9590682983398438,0.0,0.0,0.0
"MESOS-2574",False,"train",0.0,0.0,0.0,0.0,0.0,0.2022315412759781,0.7761123180389404,0.0,0.0,0.0
"MESOS-7823",False,"train",0.012526541016995907,0.012527862563729286,0.012526489794254303,0.012527543120086193,0.01252693124115467,0.6510692238807678,0.012526965700089931,0.012526674196124077,0.012526960112154484,0.24871483445167542
"MESOS-1013",False,"train",0.0,0.0,0.0,0.6832574009895325,0.0,0.3054121434688568,0.0,0.0,0.0,0.0
"MESOS-8097",False,"train",0.0,0.0,0.0,0.0,0.0,0.6087149381637573,0.0,0.0,0.37306341528892517,0.0
"MESOS-8184",True,"train",0.0,0.0,0.0,0.0,0.0,0.9180163145065308,0.0,0.0,0.0,0.0
"MESOS-3287",False,"train",0.0,0.0,0.0,0.0,0.0,0.8750469088554382,0.091963030397892,0.029664410278201103,0.0,0.0
"MESOS-7936",False,"train",0.0,0.5263933539390564,0.0,0.0,0.0,0.45196235179901123,0.0,0.0,0.0,0.0
"MESOS-2821",False,"train",0.0,0.0,0.0,0.4385060667991638,0.0,0.0,0.0,0.0,0.21139180660247803,0.3240841329097748
"MESOS-9559",False,"train",0.012529016472399235,0.012531139887869358,0.012528878636658192,0.012529370374977589,0.012529907748103142,0.8872343301773071,0.012529069557785988,0.012528794817626476,0.01253107376396656,0.012528447434306145
"MESOS-3171",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666376709938049,0.0,0.0
"MESOS-6648",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9816209077835083
"MESOS-6991",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9624673128128052,0.0,0.0,0.0
"MESOS-3985",False,"train",0.020023608580231667,0.020022016018629074,0.8197939991950989,0.020021606236696243,0.02002309076488018,0.02002202533185482,0.020026274025440216,0.02002309262752533,0.020023163408041,0.020021185278892517
"MESOS-3179",False,"train",0.0,0.0,0.0,0.0,0.0,0.25260472297668457,0.0,0.72514808177948,0.0,0.0
"MESOS-7809",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7610527873039246,0.2113061249256134,0.0
"MESOS-8189",False,"train",0.01114422082901001,0.011145203374326229,0.011143643409013748,0.011143730953335762,0.011143735609948635,0.011145235039293766,0.011143559589982033,0.011143865063786507,0.8997034430503845,0.011143323965370655
"MESOS-3884",False,"train",0.0,0.0,0.0,0.0,0.0,0.9435266256332397,0.0,0.0,0.0,0.0
"MESOS-3192",False,"train",0.0,0.0,0.0,0.0,0.0,0.9804179668426514,0.0,0.0,0.0,0.0
"MESOS-4337",False,"train",0.014305922202765942,0.014306453987956047,0.014305434189736843,0.014306087978184223,0.014306123368442059,0.014306866563856602,0.8712408542633057,0.01430901512503624,0.014307442121207714,0.014305836521089077
"MESOS-2753",True,"train",0.0,0.0,0.0,0.0,0.9590233564376831,0.0,0.0,0.0,0.0,0.0
"MESOS-4629",False,"train",0.0,0.0,0.0,0.31716352701187134,0.0,0.0,0.0,0.6480046510696411,0.0,0.0
"MESOS-4623",False,"train",0.0,0.9525746703147888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4784",False,"train",0.0,0.3518827557563782,0.0,0.0,0.0,0.0,0.0,0.3619239032268524,0.2698654234409332,0.0
"MESOS-7153",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9774861931800842,0.0,0.0,0.0
"MESOS-5365",False,"train",0.0,0.6031461358070374,0.0,0.0,0.0,0.0,0.0,0.0,0.35869383811950684,0.0
"MESOS-4863",False,"train",0.0,0.2845339775085449,0.0,0.0,0.0,0.0,0.0,0.6904312968254089,0.0,0.0
"MESOS-8206",False,"train",0.0,0.0,0.0,0.0,0.9826626777648926,0.0,0.0,0.0,0.0,0.0
"MESOS-3154",False,"train",0.0,0.0,0.0,0.0,0.0,0.9699869155883789,0.0,0.0,0.0,0.0
"MESOS-4950",False,"train",0.0,0.3611467480659485,0.0,0.0,0.6206473112106323,0.0,0.0,0.0,0.0,0.0
"MESOS-3559",False,"train",0.0,0.0,0.0,0.0,0.0,0.9590573310852051,0.0,0.0,0.0,0.0
"MESOS-3553",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9549368619918823,0.0
"MESOS-4713",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946956992149353
"MESOS-1808",False,"train",0.0,0.0,0.9607730507850647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2734",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9653584957122803,0.0,0.0,0.0
"MESOS-3573",False,"train",0.0,0.9982337951660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-8728",False,"train",0.0,0.0,0.0,0.0,0.13259178400039673,0.0,0.0,0.0,0.0,0.8431224822998047
"MESOS-9471",False,"train",0.0,0.0,0.0,0.0,0.0,0.9608194828033447,0.0,0.0,0.0,0.0
"MESOS-6088",False,"train",0.5898531675338745,0.39012113213539124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2743",False,"train",0.9653574824333191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6630",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9756594300270081,0.0,0.0,0.0
"MESOS-4479",False,"train",0.02503395825624466,0.025021761655807495,0.025019224733114243,0.02502472884953022,0.025021694600582123,0.025024225935339928,0.025026170536875725,0.7747819423675537,0.02502714842557907,0.025019153952598572
"MESOS-3197",False,"train",0.0,0.0,0.0,0.0,0.0,0.7374297976493835,0.2570083737373352,0.0,0.0,0.0
"MESOS-5856",False,"train",0.0,0.0,0.0,0.0,0.0,0.9904617071151733,0.0,0.0,0.0,0.0
"MESOS-7270",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9699243307113647,0.0,0.0,0.0
