"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
"MESOS-7047",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987005889415741
"MESOS-4380",False,"train",0.0,0.0,0.0,0.9544135332107544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3055",False,"train",0.0,0.0,0.0,0.9853078722953796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6530",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544436931610107,0.0,0.0
"MESOS-9688",True,"train",0.0,0.0,0.0,0.0,0.9868023991584778,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-7830",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883399605751038,0.0,0.0
"MESOS-5844",False,"train",0.0,0.0,0.0,0.0,0.32479238510131836,0.0,0.6750208139419556,0.0,0.0,0.0,0.0
"MESOS-7662",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9793060421943665,0.0,0.0,0.0
"MESOS-2889",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9431366920471191,0.0,0.0,0.0
"MESOS-3615",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740053415298462,0.0
"MESOS-4938",False,"train",0.01819683238863945,0.018196607008576393,0.01819741539657116,0.01819789595901966,0.01819734461605549,0.8180277943611145,0.01819751225411892,0.01819777302443981,0.018197016790509224,0.018196875229477882,0.018196895718574524
"MESOS-6322",False,"train",0.0,0.0,0.9510011076927185,0.0,0.0,0.03994704410433769,0.0,0.0,0.0,0.0,0.0
"MESOS-3570",True,"train",0.0,0.0,0.0,0.5153204202651978,0.46189990639686584,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4102",False,"train",0.0,0.0,0.0,0.0,0.0,0.9766550064086914,0.0,0.0,0.0,0.0,0.0
"MESOS-9317",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996685981750488,0.0,0.0
"MESOS-8078",False,"train",0.0,0.0,0.0,0.9746975898742676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-7881",True,"train",0.0,0.0,0.0,0.0,0.9604057669639587,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-5162",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9788426756858826
"MESOS-5335",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840332865715027
"MESOS-2408",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9172719717025757
"MESOS-3107",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953078627586365
"MESOS-5664",False,"train",0.0,0.9172840714454651,0.0,0.0,0.0,0.06835249811410904,0.0,0.0,0.0,0.0,0.0
