"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
"TIMOB-24958",False,"train",0.0,0.0,0.0,0.9893014430999756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24398",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943138599395752,0.0
"TIMOB-25009",False,"train",0.010102429427206516,0.010102375410497189,0.010102545842528343,0.010102399624884129,0.010102433152496815,0.010102511383593082,0.010102435946464539,0.8989748954772949,0.010102702304720879,0.010102652944624424,0.010102556087076664
"TIMOB-19442",False,"train",0.5424819588661194,0.44888487458229065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-20600",False,"train",0.0,0.0,0.4343942105770111,0.0,0.0,0.0,0.5601091384887695,0.0,0.0,0.0,0.0
"TIMOB-19195",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9393777251243591,0.0
"TIMOB-23595",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802278876304626,0.0
"TIMOB-25266",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917324185371399,0.0
"TIMOB-24967",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300477504730225,0.0
"TIMOB-18062",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935033917427063
"TIMOB-23716",False,"train",0.0,0.0,0.8386049270629883,0.1519845873117447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-18740",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9715824127197266,0.0,0.0,0.0,0.0
"TIMOB-15415",False,"train",0.0,0.0,0.0,0.0,0.0,0.6180214285850525,0.0,0.0,0.0,0.3604404032230377,0.0
"TIMOB-17898",False,"train",0.022825604304671288,0.02282419614493847,0.022824762389063835,0.022825367748737335,0.022824186831712723,0.02282451093196869,0.3844231069087982,0.022825121879577637,0.022825177758932114,0.41015326976776123,0.022824663668870926
"TIMOB-24569",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805418372154236,0.0,0.6989476680755615
"TIMOB-24023",False,"train",0.0,0.0,0.0,0.0,0.9871858954429626,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26703",False,"train",0.0,0.0,0.0,0.49691879749298096,0.0,0.0,0.0,0.0,0.2905082106590271,0.20296940207481384,0.0
"TIMOB-19177",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9621129631996155,0.0,0.0,0.0
"TIMOB-25277",False,"train",0.0,0.0,0.0,0.0,0.0,0.2795988619327545,0.0,0.0,0.7139561176300049,0.0,0.0
"TIMOB-19411",False,"train",0.7265686392784119,0.0,0.0,0.0,0.0,0.2703540623188019,0.0,0.0,0.0,0.0,0.0
"TIMOB-24856",False,"train",0.0,0.0,0.0,0.9853209257125854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-23148",False,"train",0.0,0.476616770029068,0.0,0.0,0.0,0.0,0.48617666959762573,0.0,0.0,0.0,0.0
"TIMOB-4609",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494577646255493,0.0,0.0,0.0
"TIMOB-25897",False,"train",0.0,0.0,0.0,0.9855625629425049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-25876",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9393708109855652,0.0,0.0
"TIMOB-23141",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935950040817261
"TIMOB-18516",False,"train",0.0,0.0,0.0,0.0,0.9772627353668213,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-20438",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299717545509338,0.0,0.0
"TIMOB-18454",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9650155305862427,0.0,0.0,0.0
"TIMOB-25890",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901150465011597,0.0,0.0
"TIMOB-23557",False,"train",0.0,0.0,0.0,0.9243676066398621,0.0,0.0,0.06284283846616745,0.0,0.0,0.0,0.0
"TIMOB-20302",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732500910758972,0.0
"TIMOB-24856",False,"train",0.0,0.0,0.0,0.9853209257125854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24539",False,"train",0.0,0.0,0.0,0.0,0.0,0.6536046862602234,0.0,0.0,0.3414824903011322,0.0,0.0
"TIMOB-11152",False,"train",0.0,0.9850894808769226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-20232",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9242205023765564,0.0,0.0,0.0
"TIMOB-24382",False,"train",0.0,0.0,0.0,0.9877122640609741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26508",False,"train",0.0,0.0,0.6094760298728943,0.0,0.0,0.0,0.0,0.0,0.214913010597229,0.16549211740493774,0.0
"TIMOB-17916",False,"train",0.022732768207788467,0.022731849923729897,0.022732438519597054,0.022732511162757874,0.02273186296224594,0.022732196375727654,0.7726768255233765,0.02273237518966198,0.022732477635145187,0.022732475772500038,0.022732194513082504
"TIMOB-24672",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884865880012512
"TIMOB-25236",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262504816055298,0.0,0.45036444067955017,0.0
"TIMOB-24831",False,"train",0.0,0.0,0.0,0.0,0.0,0.33153095841407776,0.0,0.41724440455436707,0.0,0.0,0.24545057117938995
"TIMOB-18639",False,"train",0.0,0.0,0.0,0.0,0.0,0.9706578254699707,0.0,0.0,0.0,0.0,0.0
"TIMOB-25266",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917324185371399,0.0
"TIMOB-23279",False,"train",0.0,0.0,0.0,0.980231761932373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26249",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9619158506393433,0.0,0.03287120535969734,0.0
"TIMOB-26140",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9663105010986328,0.0,0.0
"TIMOB-24249",False,"train",0.0,0.0,0.03432852029800415,0.0,0.0,0.0,0.0,0.0,0.9602128267288208,0.0,0.0
"TIMOB-26313",False,"train",0.0,0.0,0.0,0.0,0.0,0.9793281555175781,0.0,0.0,0.0,0.0,0.0
"TIMOB-25937",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952139258384705,0.0
"TIMOB-19722",False,"train",0.0,0.0,0.0,0.9521017670631409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24268",False,"train",0.0,0.0,0.0,0.7938558459281921,0.0,0.0,0.0,0.0,0.0,0.17689280211925507,0.0
"TIMOB-23408",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8489062786102295,0.1324874758720398,0.0
"TIMOB-20612",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.605935275554657,0.0,0.3033550977706909,0.08572521060705185,0.0
"TIMOB-19722",False,"train",0.0,0.0,0.0,0.9521017670631409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19652",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545179605484009,0.0
"TIMOB-19264",False,"train",0.6063132286071777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3904622495174408,0.0,0.0
"TIMOB-14876",False,"train",0.0,0.0,0.0,0.0,0.0,0.7683241367340088,0.0,0.0,0.0,0.21780483424663544,0.0
"TIMOB-24297",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996150135993958,0.0,0.0
"TIMOB-19609",True,"train",0.0,0.1049051284790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931452035903931
"TIMOB-18320",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732416868209839
"TIMOB-26388",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9806498289108276
