"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
"XD-1178",False,"train",0.010149022564291954,0.010149647481739521,0.01014962699264288,0.0101493950933218,0.010150832124054432,0.010149091482162476,0.01015073899179697,0.8985041975975037,0.010149061679840088,0.010149182751774788,0.010149256326258183
"XD-1088",False,"train",0.5878211259841919,0.0,0.17881910502910614,0.2073303759098053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1526",False,"train",0.0,0.7896124720573425,0.0,0.06926727294921875,0.0,0.13829290866851807,0.0,0.0,0.0,0.0,0.0
"XD-2487",False,"train",0.0,0.0,0.0,0.0,0.0,0.2955324649810791,0.0,0.6612308621406555,0.0,0.0,0.0
"XD-793",False,"train",0.012995345517992973,0.012995265424251556,0.8700436949729919,0.012995709665119648,0.012995302677154541,0.01299525611102581,0.012996599078178406,0.012995288707315922,0.012995701283216476,0.01299526821821928,0.012996632605791092
"XD-2307",False,"train",0.0,0.0,0.9793021082878113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-795",False,"train",0.0,0.0,0.09090235084295273,0.0,0.445531964302063,0.4024425745010376,0.0,0.0,0.0,0.0,0.0
"XD-220",True,"train",0.0,0.0,0.0,0.2489444464445114,0.4984259307384491,0.20058782398700714,0.0,0.0,0.0,0.0,0.0
"XD-1208",False,"train",0.012992569245398045,0.012990999035537243,0.012992309406399727,0.8700835108757019,0.01299107726663351,0.012993457727134228,0.012990976683795452,0.012991296127438545,0.01299129705876112,0.012991324067115784,0.012991158291697502
"XD-3721",False,"train",0.0,0.0,0.0,0.42003104090690613,0.0,0.0,0.0,0.0,0.0,0.0,0.5688943266868591
"XD-2035",False,"train",0.0,0.033530253916978836,0.0,0.5812175273895264,0.0,0.0,0.0,0.0,0.0,0.3729226589202881,0.0
"XD-1937",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090366959571838,0.0
