"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11"
"MESOS-8489",True,"train",0.9920857548713684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3584",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9541348814964294,0.0,0.0,0.0,0.0,0.0
"MESOS-4154",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9617807865142822,0.0,0.0
"MESOS-6820",False,"train",0.0,0.0,0.0,0.9996958374977112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2709",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9812745451927185,0.0,0.0,0.0,0.0,0.0
"MESOS-8653",False,"train",0.967241108417511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6037",False,"train",0.5696640014648438,0.0,0.0,0.0,0.0,0.0,0.40504857897758484,0.0,0.0,0.0,0.0,0.0
"MESOS-5365",False,"train",0.5707466006278992,0.3895252048969269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2057",True,"train",0.33130165934562683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661657989025116,0.0,0.0
"MESOS-8732",False,"train",0.49219536781311035,0.0,0.0,0.0,0.0,0.0,0.4879487156867981,0.0,0.0,0.0,0.0,0.0
"MESOS-3739",False,"train",0.1395847201347351,0.8534010052680969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-9055",False,"train",0.3074955642223358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926596403121948,0.3656870126724243,0.0
"MESOS-5927",False,"train",0.2524833381175995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7411903738975525
"MESOS-4564",False,"train",0.546720564365387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3936236798763275,0.0
"MESOS-1703",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9882315993309021,0.0,0.0,0.0,0.0
"MESOS-4798",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9737952351570129,0.0,0.0,0.0,0.0,0.0
"MESOS-4263",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9582527279853821,0.0,0.0
"MESOS-8422",False,"train",0.5593522191047668,0.0,0.0,0.0,0.0,0.0,0.4072078466415405,0.0,0.0,0.0,0.025479065254330635,0.0
"MESOS-6997",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9388127326965332
"MESOS-9224",False,"train",0.0,0.0,0.9562793374061584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3148",False,"train",0.975187361240387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-313",False,"train",0.0,0.0,0.0,0.0,0.9235251545906067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4637",False,"train",0.010424703359603882,0.010424564592540264,0.010424653068184853,0.8853287100791931,0.010424666106700897,0.010424613952636719,0.010424712672829628,0.01042461022734642,0.01042464841157198,0.010424831882119179,0.010424607433378696,0.010424652136862278
"MESOS-5669",False,"train",0.0,0.0,0.0,0.9999391436576843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-5144",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9632859826087952,0.0,0.0,0.0,0.0,0.0
"MESOS-5271",False,"train",0.4067644774913788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5738322138786316,0.0,0.0
"MESOS-4914",False,"train",0.29014310240745544,0.0,0.0,0.0,0.0,0.0,0.0,0.6735725402832031,0.0,0.0,0.0,0.0
"MESOS-1666",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722023010253906
"MESOS-2461",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980480432510376,0.0,0.0
"MESOS-8191",False,"train",0.9082712531089783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4687",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8978396654129028,0.0,0.0
"MESOS-8143",False,"train",0.24433515965938568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7347704768180847,0.0,0.0
"MESOS-5955",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7785607576370239,0.0,0.20934659242630005
