"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14"
"TIMOB-23191",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016486167907715,0.0,0.19001390039920807,0.0,0.0,0.0
"TIMOB-24140",False,"train",0.0,0.0,0.0,0.1272851526737213,0.16714516282081604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6839348077774048,0.0,0.0
"TIMOB-24749",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9481286406517029
"TIMOB-20027",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9688773155212402
"TIMOB-20190",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708251953125,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24176",False,"train",0.0,0.10460695624351501,0.0,0.0,0.0,0.0,0.0,0.8924818634986877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-25282",False,"train",0.0,0.0,0.3145504593849182,0.0,0.0,0.0,0.0,0.0,0.17673242092132568,0.0,0.0,0.0,0.5029180645942688,0.0,0.0
"TIMOB-26719",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47436195611953735,0.5191200375556946,0.0,0.0
"TIMOB-23658",False,"train",0.0,0.0,0.0,0.0,0.42007336020469666,0.0,0.0,0.0,0.0,0.0,0.0,0.5582555532455444,0.0,0.0,0.0
"TIMOB-25277",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9926496744155884
"TIMOB-19084",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740663766860962,0.0,0.0,0.0,0.0
"TIMOB-18158",False,"train",0.0,0.0,0.9940500259399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
