"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5"
"DM-16409",False,"train",0.0,0.6050335168838501,0.0,0.18385645747184753,0.0,0.2055741548538208
"DM-15217",False,"train",0.0,0.0,0.0,0.0,0.9650506973266602,0.0
"DM-18484",False,"train",0.0,0.09875496476888657,0.0,0.0,0.35282382369041443,0.5351027250289917
"DM-10758",False,"train",0.0,0.0,0.0,0.0,0.0,0.9832056760787964
"DM-9502",False,"train",0.0,0.0,0.0,0.0,0.8836055397987366,0.1046292707324028
"DM-11921",False,"train",0.4321960508823395,0.3297196626663208,0.0,0.0,0.0,0.21789366006851196
"DM-5465",False,"train",0.0,0.22945638000965118,0.0,0.5011952519416809,0.0,0.2572607398033142
"DM-5189",False,"train",0.8311741948127747,0.03421987220644951,0.033448874950408936,0.033490877598524094,0.03380459547042847,0.03386155515909195
"DM-3888",False,"train",0.8570559024810791,0.0,0.0,0.0,0.0,0.10924479365348816
"DM-7809",False,"train",0.0,0.0,0.0,0.9507511258125305,0.0,0.0
"DM-421",False,"train",0.5189070105552673,0.015254875645041466,0.015191917307674885,0.015211272984743118,0.015239985659718513,0.4201948940753937
"DM-13536",False,"train",0.0,0.6069483757019043,0.0,0.0,0.0,0.382852166891098
"DM-15751",False,"train",0.0,0.0,0.0,0.1490243375301361,0.0,0.8366233706474304
"DM-4850",False,"train",0.9687825441360474,0.0,0.0,0.0,0.0,0.0
"DM-7056",True,"train",0.012856924906373024,0.012999692931771278,0.012869679369032383,0.012920686043798923,0.8319403529167175,0.1164126843214035
"DM-13842",False,"train",0.012871712446212769,0.01293901540338993,0.012912686914205551,0.012888982892036438,0.6961767673492432,0.2522108554840088
"DM-10143",True,"train",0.01457155216485262,0.5200245976448059,0.0,0.0,0.0,0.4480297863483429
"DM-4170",False,"train",0.0,0.5341600775718689,0.0,0.0,0.0,0.44546231627464294
"DM-6900",False,"train",0.0,0.21532610058784485,0.7310571670532227,0.0,0.04274054616689682,0.0
"DM-7378",False,"train",0.011962177231907845,0.011960986070334911,0.01196848601102829,0.01196612510830164,0.012017175555229187,0.940125048160553
"DM-8197",False,"train",0.0,0.0,0.0,0.9600919485092163,0.0,0.0
"DM-17975",False,"train",0.0,0.07696594297885895,0.0,0.17197373509407043,0.05153917893767357,0.6873523592948914
"DM-2804",False,"train",0.42162084579467773,0.543003261089325,0.0,0.0,0.0,0.0
"DM-4844",False,"train",0.0,0.0,0.0,0.41097646951675415,0.05992666631937027,0.5150413513183594
"DM-12472",False,"train",0.0,0.0,0.0,0.5273019075393677,0.0,0.4435252547264099
"DM-5336",False,"train",0.0,0.0,0.0,0.6268537044525146,0.01001842599362135,0.3331628739833832
"DM-11786",True,"train",0.011227929964661598,0.011247571557760239,0.01119629293680191,0.011250191368162632,0.778144359588623,0.1769336313009262
"DM-1920",False,"train",0.0,0.03882285952568054,0.0,0.09092177450656891,0.862481415271759,0.0
"DM-4616",False,"train",0.0,0.0,0.8020638823509216,0.0,0.18700991570949554,0.0
"DM-7710",False,"train",0.012616563588380814,0.29252931475639343,0.012725409120321274,0.012628249824047089,0.656838595867157,0.012661834247410297
"DM-1424",False,"train",0.0,0.5642755031585693,0.21582238376140594,0.0,0.0,0.20946219563484192
"DM-17375",True,"train",0.0,0.0,0.0,0.5445784330368042,0.0,0.4159151315689087
"DM-7596",False,"train",0.03447366878390312,0.03477714583277702,0.034462086856365204,0.03443405032157898,0.8270456790924072,0.03480733186006546
"DM-832",True,"train",0.0,0.0,0.0,0.0,0.0,0.9745149612426758
"DM-2624",True,"train",0.015207570046186447,0.9237498044967651,0.015186992473900318,0.01522678229957819,0.015238226391375065,0.01539059542119503
"DM-13747",False,"train",0.010478236712515354,0.010469694621860981,0.010488799773156643,0.010515590198338032,0.12717172503471375,0.8308759331703186
"DM-6631",False,"train",0.0,0.05854274705052376,0.0,0.06082991510629654,0.0,0.873366117477417
"DM-6029",False,"train",0.015247233211994171,0.015323680825531483,0.0152155552059412,0.20261846482753754,0.7363327741622925,0.015262256376445293
"DM-421",False,"train",0.5189070105552673,0.015254875645041466,0.015191917307674885,0.015211272984743118,0.015239985659718513,0.4201948940753937
"DM-13342",False,"train",0.011964473873376846,0.012008250690996647,0.011973134241998196,0.012007257901132107,0.01198288332670927,0.940064013004303
"DM-17092",False,"train",0.014053353108465672,0.014120744541287422,0.013946744613349438,0.014031375758349895,0.9297196865081787,0.014128073118627071
"DM-2915",True,"train",0.1440040022134781,0.04699614644050598,0.0,0.0,0.09154398739337921,0.7123896479606628
"DM-3688",False,"train",0.0,0.9823703169822693,0.0,0.0,0.0,0.0
"DM-6788",False,"train",0.0,0.5162715911865234,0.0,0.454446017742157,0.0,0.0
"DM-454",True,"train",0.0,0.1268370896577835,0.0,0.0,0.16045674681663513,0.7048414349555969
"DM-11740",False,"train",0.8601657152175903,0.027951743453741074,0.027833474799990654,0.028012076392769814,0.027863213792443275,0.028173785656690598
"DM-460",False,"train",0.0,0.5348617434501648,0.0,0.0,0.4356091618537903,0.0
"DM-9747",False,"train",0.0,0.0,0.7373154163360596,0.14094047248363495,0.0,0.11751699447631836
"DM-8349",False,"train",0.0,0.0,0.0,0.0,0.0,0.982886016368866
"DM-17813",False,"train",0.0771264135837555,0.0,0.0,0.6024844646453857,0.30959856510162354,0.0
"DM-13276",True,"train",0.5439421534538269,0.0,0.0,0.42065730690956116,0.0,0.0
"DM-8084",False,"train",0.0,0.0303614791482687,0.9673170447349548,0.0,0.0,0.0
"DM-958",True,"train",0.035236191004514694,0.0,0.0,0.2937460243701935,0.4728679060935974,0.19249877333641052
"DM-4323",False,"train",0.0,0.0,0.0,0.16274306178092957,0.8048738837242126,0.0
"DM-12157",False,"train",0.010510112158954144,0.010711968876421452,0.0104796988889575,0.947324812412262,0.010481528006494045,0.010491895489394665
"DM-774",False,"train",0.023876221850514412,0.02389276586472988,0.02387939766049385,0.023917557671666145,0.023866714909672737,0.8805673122406006
"DM-10860",False,"train",0.0,0.9710127115249634,0.0,0.0,0.0,0.0
"DM-7690",False,"train",0.0,0.0,0.0,0.0,0.9817816019058228,0.0
"DM-4550",False,"train",0.0,0.0,0.0,0.0,0.6320123672485352,0.32831642031669617
"DM-4295",False,"train",0.0,0.0,0.0,0.0,0.0,0.9663475155830383
"DM-9515",False,"train",0.02793613076210022,0.02782558836042881,0.8607975840568542,0.02785264141857624,0.02779480628669262,0.02779320813715458
"DM-7019",False,"train",0.0,0.0,0.0,0.0,0.0,0.9598916172981262
"DM-18568",False,"train",0.0,0.6898868083953857,0.0,0.0,0.0,0.298061728477478
"DM-1573",False,"train",0.011223914101719856,0.011219759471714497,0.011241802014410496,0.8900493383407593,0.011285744607448578,0.0649794191122055
"DM-3705",False,"train",0.08830949664115906,0.0,0.0,0.04160521179437637,0.701804518699646,0.16193340718746185
"DM-15809",False,"train",0.0,0.34577423334121704,0.0,0.0,0.6299975514411926,0.0
"DM-7326",False,"train",0.05144590139389038,0.6751639246940613,0.2530033588409424,0.0,0.0,0.0
"DM-5205",True,"train",0.0,0.9676933288574219,0.0,0.0,0.0,0.0
"DM-11571",False,"train",0.0,0.1959349811077118,0.0,0.0,0.7926410436630249,0.0
"DM-12700",False,"train",0.012864405289292336,0.012923350557684898,0.012879809364676476,0.9354270100593567,0.012957929633557796,0.012947507202625275
"DM-5868",False,"train",0.0,0.4797329604625702,0.0,0.0,0.0,0.49622470140457153
"DM-13712",False,"train",0.0,0.0,0.08730553835630417,0.8214750289916992,0.0,0.07423510402441025
"DM-9005",False,"train",0.8948166966438293,0.0,0.10229023545980453,0.0,0.0,0.0
"DM-14742",False,"train",0.0,0.29538512229919434,0.0,0.0,0.0,0.6909007430076599
"DM-13768",True,"train",0.0,0.6514694690704346,0.0,0.20317718386650085,0.0,0.13208791613578796
"DM-11214",False,"train",0.0339188352227211,0.6180475354194641,0.033507850021123886,0.03368256613612175,0.03350643068552017,0.24733680486679077
"DM-15914",True,"train",0.015567406080663204,0.7398237586021423,0.015705201774835587,0.01549077033996582,0.19788160920143127,0.01553122978657484
"DM-14114",False,"train",0.011969291605055332,0.011974401772022247,0.01205430831760168,0.23533862829208374,0.012313637882471085,0.716349720954895
"DM-8809",False,"train",0.0,0.0,0.05544712767004967,0.0,0.9139885306358337,0.0
"DM-5966",False,"train",0.0,0.5292035937309265,0.0,0.0,0.4174915850162506,0.03310951218008995
"DM-7466",True,"train",0.02144879847764969,0.8927369713783264,0.021414626389741898,0.02144726552069187,0.021472252905368805,0.02148013934493065
"DM-12008",True,"train",0.2390316128730774,0.3167991042137146,0.0,0.2837736904621124,0.0,0.14438460767269135
"DM-3224",False,"train",0.02103540115058422,0.021024618297815323,0.02096644788980484,0.8947606682777405,0.021099308505654335,0.021113576367497444
"DM-1897",True,"train",0.0,0.0,0.0,0.0,0.0,0.9738357067108154
"DM-5209",False,"train",0.0,0.0,0.0,0.0,0.39681771397590637,0.578222393989563
"DM-8759",True,"train",0.0,0.0,0.19178728759288788,0.0,0.7786290049552917,0.0
"DM-13381",False,"train",0.4007970690727234,0.0,0.0,0.2135540097951889,0.0,0.37389683723449707
"DM-1674",False,"train",0.03348895534873009,0.8323938250541687,0.03342818841338158,0.03349608555436134,0.03372130170464516,0.03347160294651985
"DM-471",False,"train",0.0,0.987032949924469,0.0,0.0,0.0,0.0
"DM-12044",False,"train",0.02791331335902214,0.027881329879164696,0.027884233742952347,0.8605122566223145,0.027895981445908546,0.027912883087992668
"DM-1498",False,"train",0.012973370961844921,0.013002362102270126,0.30377906560897827,0.013076341710984707,0.013042442500591278,0.6441264152526855
"DM-7995",False,"train",0.0,0.03710149601101875,0.0,0.0,0.48138153553009033,0.46131929755210876
"DM-3175",False,"train",0.879737913608551,0.02400873973965645,0.024091489613056183,0.024138670414686203,0.02399275079369545,0.024030400440096855
"DM-8453",False,"train",0.033409398049116135,0.03337479010224342,0.2431342899799347,0.03339044749736786,0.6233296394348145,0.033361468464136124
"DM-6627",False,"train",0.0,0.0,0.0,0.09083802998065948,0.12014465034008026,0.7726194858551025
"DM-4825",False,"train",0.0,0.9719797968864441,0.0,0.0,0.0,0.0
"DM-16926",False,"train",0.0,0.0,0.0,0.5302016735076904,0.0,0.4568062722682953
"DM-10005",True,"train",0.0,0.9663709402084351,0.0,0.0,0.0,0.0
"DM-18327",False,"train",0.0,0.0,0.0,0.3134826421737671,0.6636766195297241,0.0
"DM-3173",False,"train",0.0,0.0,0.0,0.3755144476890564,0.0,0.6057332754135132
"DM-7105",False,"train",0.043174631893634796,0.043086908757686615,0.04314868152141571,0.7839260697364807,0.04341743513941765,0.0432463102042675
