"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6"
"MESOS-5062",False,"train",0.0,0.0,0.0,0.0,0.9816818833351135,0.0,0.0
"MESOS-1862",False,"train",0.0,0.0,0.9972988963127136,0.0,0.0,0.0,0.0
"MESOS-8131",False,"train",0.9609323143959045,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-8251",False,"train",0.25259748101234436,0.0,0.0,0.739065945148468,0.0,0.0,0.0
"MESOS-9225",False,"train",0.0,0.0,0.0,0.9547133445739746,0.0,0.0,0.0
"MESOS-8032",False,"train",0.976739764213562,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-1733",False,"train",0.0,0.0,0.0,0.9493242502212524,0.0,0.0,0.0
"MESOS-9362",False,"train",0.0,0.9837512373924255,0.0,0.0,0.0,0.0,0.0
"MESOS-5142",False,"train",0.0,0.0,0.0,0.9426994323730469,0.0,0.0,0.0
"MESOS-6519",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9999014139175415
"MESOS-3145",False,"train",0.0,0.0,0.0,0.21469742059707642,0.0,0.7788929343223572,0.0
"MESOS-8211",False,"train",0.965536892414093,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-5944",False,"train",0.0,0.0,0.975405216217041,0.0,0.0,0.0,0.0
"MESOS-3515",True,"train",0.0,0.0,0.0,0.9760598540306091,0.0,0.0,0.0
"MESOS-7936",False,"train",0.0,0.0,0.0,0.811514675617218,0.0,0.0,0.16908998787403107
"MESOS-9147",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9865332245826721
"MESOS-3624",False,"train",0.0,0.0,0.0,0.488565057516098,0.48376646637916565,0.0,0.0
"MESOS-2295",False,"train",0.028695661574602127,0.827819287776947,0.028666721656918526,0.02877032198011875,0.028645701706409454,0.028738247230648994,0.028664030134677887
"MESOS-7985",True,"train",0.015942949801683426,0.0159479770809412,0.015965741127729416,0.01594831980764866,0.015943972393870354,0.9042953252792358,0.015955736860632896
"MESOS-5576",False,"train",0.07805512100458145,0.0,0.0,0.39393338561058044,0.0,0.5252718925476074,0.0
"MESOS-6022",False,"train",0.01439750473946333,0.9138342142105103,0.0143459253013134,0.014351733960211277,0.01434936560690403,0.014357353560626507,0.014363909140229225
"MESOS-6234",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9865404367446899
"MESOS-6073",False,"train",0.0,0.0,0.0,0.4200657606124878,0.5347981452941895,0.0,0.0
"MESOS-8650",False,"train",0.0143577316775918,0.014316032640635967,0.23230846226215363,0.6960299611091614,0.014320050366222858,0.014348027296364307,0.014319775626063347
"MESOS-2056",False,"train",0.0,0.0,0.0,0.9820855259895325,0.0,0.0,0.0
"MESOS-6189",False,"train",0.01795140653848648,0.01792246103286743,0.01798003539443016,0.8923591375350952,0.017919257283210754,0.017922548577189445,0.017945166677236557
"MESOS-3951",False,"train",0.0,0.63637375831604,0.0,0.3461228907108307,0.0,0.0,0.0
"MESOS-6017",False,"train",0.0,0.0,0.9655489921569824,0.0,0.0,0.0,0.0
"MESOS-8539",False,"train",0.48127949237823486,0.013118483126163483,0.01311531662940979,0.07454046607017517,0.013096943497657776,0.013121990486979485,0.3917272984981537
