"issue_key","storypoints","issuetype","time_in_status"
"TIMOB-26981",5.0,"Bug",20.82972
"TIMOB-26980",5.0,"Bug",22.43972
"TIMOB-26979",5.0,"Story",0.10667
"TIMOB-26957",13.0,"Improvement",0.33889
"TIMOB-26908",3.0,"Bug",24.93556
"TIMOB-26903",5.0,"Bug",23.66556
"TIMOB-26891",3.0,"Story",0.18139
"TIMOB-26888",3.0,"Story",71.91306
"TIMOB-26886",3.0,"Story",0.06028
"TIMOB-26884",3.0,"Improvement",0.00472
"TIMOB-26879",1.0,"Bug",0.01139
"TIMOB-26869",3.0,"Bug",0.09333
"TIMOB-26865",5.0,"Bug",1.88889
"TIMOB-26860",8.0,"Bug",0.00667
"TIMOB-26859",5.0,"Bug",123.05444
"TIMOB-26850",3.0,"Bug",1.89139
"TIMOB-26847",3.0,"Bug",0.10556
"TIMOB-26843",8.0,"Bug",43.38444
"TIMOB-26835",5.0,"Bug",0.83694
"TIMOB-26834",5.0,"Bug",1.71194
"TIMOB-26833",1.0,"Bug",0.00278
"TIMOB-26826",5.0,"Bug",117.83389
"TIMOB-26824",3.0,"Bug",0.34333
"TIMOB-26797",5.0,"Bug",9.80667
"TIMOB-26789",3.0,"Bug",0.11
"TIMOB-26788",5.0,"Bug",0.00333
"TIMOB-26785",5.0,"Bug",0.39583
"TIMOB-26779",2.0,"Bug",0.00167
"TIMOB-26776",8.0,"Bug",4.81306
"TIMOB-26774",5.0,"Bug",22.86528
"TIMOB-26766",5.0,"Bug",0.02889
"TIMOB-26758",5.0,"Bug",2.79806
"TIMOB-26748",3.0,"Bug",0.00417
"TIMOB-26746",3.0,"Bug",0.54
"TIMOB-26742",13.0,"Bug",120.30861
"TIMOB-26740",2.0,"Story",6.01944
"TIMOB-26729",13.0,"Improvement",0.05139
"TIMOB-26727",5.0,"Bug",17.10917
"TIMOB-26725",1.0,"Bug",0.00139
"TIMOB-26719",3.0,"Bug",0.50111
"TIMOB-26705",2.0,"Bug",0.0075
"TIMOB-26704",5.0,"Bug",27.42639
"TIMOB-26703",1.0,"New Feature",0.00167
"TIMOB-26700",13.0,"Improvement",367.11083
"TIMOB-26689",8.0,"Bug",70.36167
"TIMOB-26688",3.0,"Bug",0.01222
"TIMOB-26681",8.0,"Bug",2.63472
"TIMOB-26674",3.0,"Improvement",0.21528
"TIMOB-26672",5.0,"Bug",310.06556
"TIMOB-26670",21.0,"New Feature",0.00444
"TIMOB-26669",8.0,"New Feature",0.03417
"TIMOB-26667",3.0,"Bug",0.13194
"TIMOB-26664",3.0,"Bug",0.00556
"TIMOB-26660",5.0,"New Feature",694.89389
"TIMOB-26651",5.0,"Bug",27.09611
"TIMOB-26648",3.0,"Improvement",0.00472
"TIMOB-26645",3.0,"Improvement",76.96861
"TIMOB-26638",5.0,"Improvement",167.4025
"TIMOB-26637",1.0,"New Feature",167.39972
"TIMOB-26636",1.0,"Improvement",167.39639
"TIMOB-26633",1.0,"Improvement",0.19222
"TIMOB-26632",5.0,"Bug",0.35
"TIMOB-26613",5.0,"Improvement",0.75694
"TIMOB-26601",5.0,"Bug",27.06833
"TIMOB-26597",3.0,"Bug",21.81278
"TIMOB-26595",3.0,"Bug",21.80083
"TIMOB-26594",1.0,"Bug",43.57861
"TIMOB-26590",9.0,"Bug",0.51222
"TIMOB-26587",3.0,"Bug",0.01833
"TIMOB-26586",3.0,"Bug",0.88167
"TIMOB-26580",3.0,"Bug",1.13972
"TIMOB-26579",5.0,"Bug",0.0025
"TIMOB-26578",5.0,"Bug",48.88222
"TIMOB-26577",5.0,"Bug",406.85333
"TIMOB-26575",8.0,"Improvement",220.73333
"TIMOB-26565",5.0,"Bug",4.42
"TIMOB-26564",5.0,"Bug",0.02
"TIMOB-26562",3.0,"Improvement",0.72083
"TIMOB-26560",3.0,"Improvement",0.22417
"TIMOB-26559",5.0,"Bug",0.01278
"TIMOB-26556",3.0,"Improvement",0.14111
"TIMOB-26555",7.0,"Bug",0.00444
"TIMOB-26551",1.0,"Bug",1.64389
"TIMOB-26550",5.0,"Bug",26.48806
"TIMOB-26549",5.0,"Bug",22.29861
"TIMOB-26540",5.0,"Bug",0.01278
"TIMOB-26539",1.0,"Bug",0.00139
"TIMOB-26538",7.0,"Bug",0.00167
"TIMOB-26537",5.0,"Bug",25.11889
"TIMOB-26535",5.0,"Bug",0.0425
"TIMOB-26534",3.0,"Bug",0.33444
"TIMOB-26533",5.0,"Bug",0.01611
"TIMOB-26529",2.0,"Bug",0.15361
"TIMOB-26525",5.0,"Bug",0.00278
"TIMOB-26524",5.0,"Bug",0.00639
"TIMOB-26521",8.0,"Bug",0.01472
"TIMOB-26518",3.0,"Story",0.16833
"TIMOB-26517",1.0,"Story",5.96944
"TIMOB-26516",2.0,"Bug",0.10722
