"issue_key","storypoints","issuetype","time_in_status"
"TISTUD-9159",8.0,"Bug",5.52417
"TISTUD-9156",5.0,"Improvement",200.94194
"TISTUD-9148",3.0,"Improvement",184.67778
"TISTUD-9145",5.0,"Bug",0.27056
"TISTUD-9142",3.0,"Bug",0.05917
"TISTUD-9140",3.0,"Bug",24.23833
"TISTUD-9138",2.0,"Improvement",0.08139
"TISTUD-9137",3.0,"Bug",0.02222
"TISTUD-9129",8.0,"Bug",117.35583
"TISTUD-9126",3.0,"Bug",0.405
"TISTUD-9125",3.0,"Bug",0.15306
"TISTUD-9123",3.0,"Bug",405.0125
"TISTUD-9121",5.0,"Bug",2.26083
"TISTUD-9118",3.0,"Bug",0.11222
"TISTUD-9117",5.0,"Bug",164.31278
"TISTUD-9116",3.0,"Bug",0.30806
"TISTUD-9113",3.0,"Bug",0.005
"TISTUD-9111",3.0,"Bug",1162.80806
"TISTUD-9110",3.0,"Bug",798.27111
"TISTUD-9108",5.0,"Bug",861.885
"TISTUD-9107",5.0,"Bug",560.77111
"TISTUD-9101",5.0,"Bug",282.23139
"TISTUD-9099",5.0,"Bug",0.03778
"TISTUD-9097",3.0,"Bug",0.19417
"TISTUD-9093",3.0,"Bug",0.16306
"TISTUD-9092",3.0,"Bug",0.00222
"TISTUD-9090",3.0,"Bug",0.00222
"TISTUD-9086",3.0,"Improvement",0.00278
"TISTUD-9085",5.0,"Improvement",0.02444
"TISTUD-9082",8.0,"Improvement",27.40583
"TISTUD-9075",5.0,"Bug",31.63083
"TISTUD-9063",3.0,"Improvement",0.00361
"TISTUD-9060",5.0,"Bug",4.95972
"TISTUD-9055",3.0,"Bug",0.01028
"TISTUD-9053",5.0,"Bug",98.67444
"TISTUD-9048",3.0,"Bug",22.12806
"TISTUD-9047",5.0,"Bug",501.63472
"TISTUD-9045",5.0,"Bug",39.41861
"TISTUD-9043",5.0,"Bug",0.0375
"TISTUD-9042",3.0,"Bug",0.00222
"TISTUD-9036",8.0,"Bug",24.64806
"TISTUD-9035",5.0,"Bug",0.01056
"TISTUD-9031",3.0,"Bug",0.01917
"TISTUD-9029",3.0,"Bug",1.46611
"TISTUD-9027",3.0,"Bug",1.35556
"TISTUD-9026",8.0,"Bug",26.15
"TISTUD-9019",13.0,"Improvement",288.49417
"TISTUD-9018",13.0,"Improvement",6.81778
"TISTUD-9016",8.0,"Bug",934.77611
"TISTUD-8998",5.0,"Bug",0.30278
"TISTUD-8997",5.0,"Bug",0.01056
"TISTUD-8991",8.0,"Improvement",146.49083
"TISTUD-8984",5.0,"Bug",0.00722
"TISTUD-8983",5.0,"Bug",245.63722
"TISTUD-8979",5.0,"Bug",0.00417
"TISTUD-8978",5.0,"Bug",215.65917
"TISTUD-8971",5.0,"Bug",95.17389
"TISTUD-8967",3.0,"Bug",0.31139
