"issue_key","storypoints","issuetype","time_in_status"
"XD-3748",1.0,"Bug",1.46361
"XD-3747",1.0,"Improvement",0.04972
"XD-3746",1.0,"Improvement",0.00139
"XD-3745",1.0,"Improvement",0.0025
"XD-3744",1.0,"Improvement",0.23306
"XD-3743",1.0,"Bug",0.82278
"XD-3742",3.0,"Improvement",26.4275
"XD-3740",1.0,"Bug",0.00833
"XD-3739",5.0,"Bug",2.16417
"XD-3738",2.0,"Improvement",0.00528
"XD-3737",1.0,"Bug",2.40694
"XD-3736",2.0,"Improvement",1.07833
"XD-3734",1.0,"Bug",1.04861
"XD-3733",1.0,"Improvement",2.03361
"XD-3731",1.0,"Improvement",6.20806
"XD-3725",1.0,"Bug",0.01861
"XD-3721",1.0,"Bug",21.41417
"XD-3718",1.0,"Improvement",0.00889
"XD-3716",2.0,"Improvement",1.67167
"XD-3715",5.0,"Story",28.75611
"XD-3714",3.0,"Story",18.47889
"XD-3709",1.0,"Bug",0.57639
"XD-3708",1.0,"Story",0.00111
"XD-3705",5.0,"Story",0.00222
"XD-3702",3.0,"Story",17.77139
"XD-3701",1.0,"Story",0.10444
"XD-3699",1.0,"Improvement",0.00194
"XD-3698",1.0,"Bug",29.18417
"XD-3697",1.0,"Bug",0.27333
"XD-3696",1.0,"Story",0.16639
"XD-3695",1.0,"Story",2.40306
"XD-3693",1.0,"Story",0.33917
"XD-3692",5.0,"Story",430.44861
"XD-3691",2.0,"Bug",4.38667
"XD-3690",1.0,"Story",0.0275
"XD-3689",3.0,"Story",4.87944
"XD-3685",3.0,"Bug",45.52278
"XD-3684",3.0,"Bug",20.56472
"XD-3683",1.0,"Bug",0.00472
"XD-3673",5.0,"Bug",0.01722
"XD-3672",2.0,"Story",0.0125
"XD-3670",5.0,"Story",76.41222
"XD-3669",1.0,"Story",0.13694
"XD-3654",3.0,"Story",23.83722
"XD-3652",5.0,"Bug",0.00278
"XD-3651",1.0,"Improvement",0.00139
"XD-3645",2.0,"Bug",104.25056
"XD-3644",5.0,"Story",18.58861
"XD-3641",3.0,"Story",0.00111
"XD-3637",1.0,"Story",0.13833
"XD-3636",1.0,"Story",23.38861
"XD-3627",1.0,"Story",127.62667
"XD-3622",3.0,"Story",73.07639
"XD-3621",3.0,"Bug",0.00444
"XD-3619",2.0,"Story",0.00306
"XD-3617",2.0,"Story",0.00139
"XD-3616",3.0,"Story",201.45194
"XD-3610",1.0,"Bug",622.50639
"XD-3602",2.0,"Story",0.74278
"XD-3601",3.0,"Story",6.65222
"XD-3598",1.0,"Bug",0.93528
"XD-3597",3.0,"Story",5.03083
"XD-3596",1.0,"Story",0.36833
"XD-3595",3.0,"Story",0.63667
"XD-3594",3.0,"Story",19.70028
"XD-3593",2.0,"Story",49.12222
"XD-3589",8.0,"Story",190.21694
"XD-3582",8.0,"Story",123.82861
"XD-3581",3.0,"Story",169.24694
"XD-3576",5.0,"Story",45.1675
"XD-3575",5.0,"Story",22.56528
"XD-3574",3.0,"Story",20.91806
"XD-3573",2.0,"Story",266.65611
"XD-3571",5.0,"Story",194.25139
"XD-3570",1.0,"Story",49.37472
"XD-3569",3.0,"Story",90.18667
"XD-3568",3.0,"Bug",2.46194
"XD-3567",3.0,"Bug",0.23111
"XD-3566",3.0,"Story",2.10611
"XD-3560",5.0,"Story",0.03639
"XD-3556",5.0,"Story",384.73083
"XD-3508",3.0,"Bug",185.66806
"XD-3506",1.0,"Bug",4.73667
"XD-3505",3.0,"Bug",43.91333
"XD-3503",2.0,"Story",19.38722
"XD-3502",1.0,"Story",0.00139
"XD-3501",2.0,"Story",94.18444
"XD-3493",3.0,"Story",33.12639
"XD-3492",1.0,"Story",0.00222
"XD-3491",3.0,"Story",28.9975
"XD-3488",8.0,"Story",0.00694
"XD-3486",8.0,"Story",126.71583
"XD-3482",5.0,"Story",145.64611
"XD-3469",3.0,"Improvement",3.01694
"XD-3468",2.0,"Bug",0.00139
"XD-3466",1.0,"Story",0.00833
"XD-3464",2.0,"Bug",0.00389
"XD-3463",2.0,"Story",0.00417
"XD-3462",1.0,"Story",5.79556
