issue_key,sp_fluctuate,code,evidence
DM-10009,FALSE,rephrasing,if > for pixels where
DM-10525,FALSE,additional details,"add ""sometime fails after a few hours of execution"""
DM-10740,FALSE,additional details,add detail of the task
DM-10796,FALSE,additional details,Add aspect of requirement to finalize
DM-11159,FALSE,rephrasing,produces > produced
DM-11162,FALSE,text formatting,text formatting {{}}
DM-11287,FALSE,worklog,
DM-11319,FALSE,task removed,"scope was reduced from ""all of the CModel test plots"" to ""characteristics plots"" (comment: from figures 10, 11, and 12)"
DM-11345,FALSE,additional details,add characteristics that the refining dataset should cover
DM-1151,FALSE,task added,include a new subtasks: removing any fake (unnecessary) datarefs
DM-12423,FALSE,text formatting,text formatting
DM-12423,FALSE,typo,outlier > outliers
DM-12551,FALSE,task added,add more task optimizations
DM-1256,FALSE,typo,"changed from global catalog to metadata store, I mark this as typo because epiclink was assigned 10 hrs before, indicate that this task is about metadatastore. There is no other evidence indicate relationship with global catalog at all"
DM-12853,FALSE,worklog,"The main task is to review design questions, and the updates are the answer for each question"
DM-13253,FALSE,additional details,add link to another issue
DM-13268,FALSE,additional details,detail about the state of the task and review process
DM-13489,FALSE,text formatting,\n
DM-13552,FALSE,typo,"The attachment posted on JIRA shows that they have 10 wavefronts, posted before they change the description"
DM-13648,FALSE,additional details,"focusing on version 9 (support only version 9 still compatible with version 8, so scope does not change)"
DM-13954,FALSE,typo,typo
DM-14118,FALSE,additional details,jupyter notebook location added
DM-14350,FALSE,additional details,the correct ones should be ...
DM-14505,FALSE,additional details,add detail how to test cache and coverage bug
DM-14505,FALSE,worklog,list completed work
DM-15054,FALSE,additional details,add detail about JAVA version implementation
DM-15054,FALSE,text formatting,"add [ ], ' '"
DM-15054,FALSE,text formatting,"[], ' '"
DM-15081,FALSE,additional details,add task clarification
DM-15106,FALSE,additional details,"add ""Once DM-15104 is completed"""
DM-15510,FALSE,additional details,add sample query to description and new details to summary
DM-15795,FALSE,additional details,add detail to a task
DM-16261,FALSE,additional details,"change lsst_obs > obs_lsst (probably the same), change user mentioned name to review with"
DM-16475,FALSE,typo,"Recognize, UCDs, vo-table > VO like table"
DM-16475,FALSE,additional details,Add additional requirement (The source of the table...)
DM-16734,FALSE,additional details,"state that LDM50307 is the mile stone, and executing test plan LVV-P16 is how to complete it."
DM-17677,FALSE,typo,RPMS
DM-17788,FALSE,worklog, add (/) to mark the completed work
DM-17983,FALSE,typo,Arvo
DM-18019,FALSE,typo,security
DM-18708,FALSE,rephrasing,remove 'ingest' from summary
DM-2097,FALSE,additional details,task elaboration from linked issues'
DM-2427,FALSE,typo,spanregion > spanset
DM-2659,FALSE,additional details,add detail of the task and roughly explain implementation step
DM-2708,FALSE,rephrasing,rephrase summary
DM-2953,FALSE,rephrasing,rephrase summary (unique_ptr is already stated in description)
DM-3090,FALSE,typo,quite > suite
DM-3199,FALSE,additional details,add detail of task in the summary (description still stays the same)
DM-3574,FALSE,task changed,"Reimplement changed to Replace, library changed (use CssAccess instead of KVInterface)"
DM-3652,FALSE,worklog,details about the current work
DM-3652,FALSE,typo,SUI/T > SUIT
DM-3926,FALSE,rephrasing,"remove ""(step 1)"" and ""first step -"""
DM-3951,FALSE,additional details,add detail to clarify the performance acceptance after the removal
DM-3952,FALSE,typo,cleanup > Cleanup
DM-4194,FALSE,typo,remove does
DM-4570,FALSE,additional details,"add detail ""not sure if we wanted this"""
DM-4570,FALSE,task added,add task to filter validation syntax and add actOn feature
DM-4582,FALSE,rephrasing,"""highlight"" is already stated in the summary"
DM-4993,FALSE,additional details,list of dependencies added for review (main task is not changed/ no new task specified)
DM-5312,FALSE,additional details,"add ""Test potential improvements in many-vertical-shards test (20,50) run-times with query optimizer settings."""
DM-5323,FALSE,task added,add new subtasks
DM-5387,FALSE,worklog,
