issue_key,sp_fluctuate,code,evidence
XD-106,FALSE,task changed,server to work on changed from XDAdmin to Container server
XD-109,FALSE,task removed,scope reduced as redis is removed
XD-1148,FALSE,rephrasing,add a word ('option') to elaborate
XD-1420,FALSE,typo,chances > changes
XD-1173,FALSE,text formatting,remove newline
XD-1186,FALSE,rephrasing,"This is rephrasing because ""support use of application.yml"" is the main goal. The removed phrase ""separate ..."" is not the main goal regarding the description"
XD-1199,FALSE,task changed,update doc instead of old 2 tasks
XD-1419,FALSE,typo,jppml > jpmml
XD-1420,FALSE,typo,capitalize jpmml > JPMML
XD-1421,FALSE,text formatting,text formatting
XD-1455,FALSE,rephrasing,"remove ""Also"""
XD-1462,FALSE,rephrasing,rephrase summary without changing task
XD-1565,FALSE,UNKNOWN,not enough context
XD-159,FALSE,rephrasing,rephrase summary
XD-1650,FALSE,rephrasing,remove detail from summary
XD-170,FALSE,additional details,Add example of the expected outcome
XD-1729,FALSE,additional details,"define the second half dependencies as ""minor changes"" and update the targeted system version number."
XD-1777,FALSE,rephrasing,rephrase summary
XD-1853,FALSE,rephrasing,"rephrase summary, the removed detail is already noted in the description"
XD-1894,FALSE,rephrasing,changing word from performance tuning > best practices
XD-1909,FALSE,additional details,spring cell sub-version changed
XD-1979,FALSE,rephrasing,rephrase summary from OB to requirement
XD-2003,FALSE,rephrasing,"add ""In EC2 deployment"" in the summary (already stated in the description)"
XD-2044,FALSE,rephrasing,rephrase summary (Create a > Add)
XD-2044,FALSE,additional details,add user story and reference
XD-206,FALSE,rephrasing,"rephrase summary, ""should always prefer"" changed to ""should check"", and add 'containermain' (stated in the description)"
XD-2118,FALSE,rephrasing,"rephrase summary (add 'and sink', which is already stated in the description)"
XD-2122,FALSE,additional details,"originally the issue does not have clear scope of what role should have access control (i.e., ""Who can ...""), then the description was changed to indicate that such roles are Admin or Viewer."
XD-2271,FALSE,additional details,specify the version to add (RC)
XD-2299,FALSE,UNKNOWN,The task is just a placeholders with no description defined.
XD-2304,FALSE,additional details,Task changed from refector to research (spike) of the original task. The spike scope also defined in the description but doesnt count because the task was changed.
XD-2381,FALSE,task removed,subtask was removed.
XD-2471,FALSE,issue organization,
XD-2473,FALSE,issue organization,
XD-2544,FALSE,UNKNOWN,It is unknown if PerfSource is similar to loadGenerator or not
XD-2547,FALSE,task changed,task changed from changing convention to dropping any name convention
XD-2624,FALSE,typo,`tests` is missing
XD-2646,FALSE,rephrasing,"rephrase summary, SHDP > Spring for Apache Hadoop"
