"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MESOS-9729",54,1.0,54,1.0,0,0.0
"MESOS-9727",46,1.0,46,1.0,0,0.0
"MESOS-9719",283,2.0,283,2.0,0,0.0
"MESOS-9715",0,3.0,0,3.0,0,0.0
"MESOS-9712",149,3.0,149,3.0,0,0.0
"MESOS-9711",50,1.0,50,1.0,0,0.0
"MESOS-9699",38,3.0,38,3.0,0,0.0
"MESOS-9696",12,1.0,12,1.0,0,0.0
"MESOS-9694",0,3.0,0,3.0,0,0.0
"MESOS-9692",104,2.0,87,"3.0",17,-1.0
"MESOS-9691",90,5.0,90,"5.0",0,0.0
"MESOS-9688",69,5.0,67,"5.0",2,0.0
"MESOS-9687",54,3.0,54,3.0,0,0.0
"MESOS-9676",0,2.0,0,2.0,0,0.0
"MESOS-9667",99,3.0,99,3.0,0,0.0
"MESOS-9661",37,1.0,37,1.0,0,0.0
"MESOS-9655",26,1.0,26,"1.0",0,0.0
"MESOS-9651",0,8.0,0,8.0,0,0.0
"MESOS-9648",38,8.0,38,8.0,0,0.0
"MESOS-9643",22,3.0,22,3.0,0,0.0
"MESOS-9642",0,3.0,0,3.0,0,0.0
"MESOS-9639",110,3.0,110,"3.0",0,0.0
"MESOS-9637",41,1.0,41,1.0,0,0.0
"MESOS-9635",130,3.0,38,3.0,92,0.0
"MESOS-9632",32,3.0,32,"3.0",0,0.0
"MESOS-9626",29,3.0,26,"2.0",3,1.0
"MESOS-9625",21,3.0,21,"2.0",0,1.0
"MESOS-9624",17,3.0,17,"2.0",0,1.0
"MESOS-9623",0,3.0,0,3.0,0,0.0
"MESOS-9622",41,5.0,31,"8.0",10,-3.0
"MESOS-9621",272,1.0,271,1.0,1,0.0
"MESOS-9620",30,3.0,25,3.0,5,0.0
"MESOS-9615",17,5.0,17,5.0,0,0.0
"MESOS-9613",15,3.0,10,3.0,5,0.0
"MESOS-9612",94,5.0,94,5.0,0,0.0
