"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MULE-16707",19,2.0,19,2.0,0,0.0
"MULE-16706",15,1.0,15,1.0,0,0.0
"MULE-16704",20,1.0,20,1.0,0,0.0
"MULE-16694",12,4.0,12,4.0,0,0.0
"MULE-16693",8,1.0,8,1.0,0,0.0
"MULE-16691",11,4.0,11,4.0,0,0.0
"MULE-16689",51,1.0,51,1.0,0,0.0
"MULE-16682",14,1.0,14,1.0,0,0.0
"MULE-16676",23,2.0,23,2.0,0,0.0
"MULE-16674",8,2.0,8,2.0,0,0.0
"MULE-16673",8,1.0,8,1.0,0,0.0
"MULE-16672",59,8.0,86,8.0,-27,0.0
"MULE-16657",30,8.0,30,8.0,0,0.0
"MULE-16652",19,1.0,21,1.0,-2,0.0
"MULE-16651",8,1.0,8,1.0,0,0.0
"MULE-16644",49,-1.0,49,1.0,0,-2.0
"MULE-16637",10,-1.0,10,3.0,0,-4.0
"MULE-16636",16,4.0,16,4.0,0,0.0
"MULE-16633",16,-1.0,16,1.0,0,-2.0
"MULE-16632",10,1.0,10,1.0,0,0.0
"MULE-16626",11,8.0,11,8.0,0,0.0
"MULE-16624",6,5.0,6,5.0,0,0.0
"MULE-16623",11,3.0,11,3.0,0,0.0
"MULE-16605",15,3.0,15,3.0,0,0.0
"MULE-16600",109,8.0,109,8.0,0,0.0
"MULE-16599",32,3.0,32,3.0,0,0.0
"MULE-16598",63,4.0,63,4.0,0,0.0
"MULE-16597",28,2.0,28,2.0,0,0.0
"MULE-16592",10,3.0,10,"0.0",0,3.0
"MULE-16584",14,1.0,14,1.0,0,0.0
"MULE-16582",8,1.0,8,1.0,0,0.0
"MULE-16581",144,8.0,145,8.0,-1,0.0
"MULE-16577",28,1.0,28,1.0,0,0.0
"MULE-16575",21,8.0,21,8.0,0,0.0
"MULE-16569",284,1.0,284,1.0,0,0.0
"MULE-16567",20,1.0,20,1.0,0,0.0
"MULE-16564",12,2.0,12,2.0,0,0.0
"MULE-16557",18,5.0,18,5.0,0,0.0
"MULE-16554",23,8.0,23,8.0,0,0.0
"MULE-16553",21,16.0,21,16.0,0,0.0
"MULE-16551",342,8.0,342,8.0,0,0.0
"MULE-16548",28,1.0,28,1.0,0,0.0
"MULE-16545",11,1.0,11,1.0,0,0.0
"MULE-16544",21,2.0,21,2.0,0,0.0
"MULE-16540",70,-1.0,70,5.0,0,-6.0
"MULE-16537",35,4.0,34,4.0,1,0.0
"MULE-16531",22,2.0,22,2.0,0,0.0
"MULE-16529",11,1.0,11,1.0,0,0.0
"MULE-16524",34,1.0,34,1.0,0,0.0
"MULE-16517",19,8.0,19,8.0,0,0.0
"MULE-16511",21,2.0,21,2.0,0,0.0
"MULE-16510",25,2.0,25,2.0,0,0.0
"MULE-16508",13,3.0,13,3.0,0,0.0
"MULE-16495",14,1.0,14,1.0,0,0.0
"MULE-16492",20,8.0,20,8.0,0,0.0
"MULE-16484",9,8.0,9,8.0,0,0.0
"MULE-16477",9,8.0,8,"8.0",1,0.0
"MULE-16476",9,8.0,8,"8.0",1,0.0
"MULE-16475",9,1.0,8,1.0,1,0.0
"MULE-16473",9,8.0,8,"8.0",1,0.0
"MULE-16467",9,4.0,8,4.0,1,0.0
"MULE-16466",10,1.0,8,1.0,2,0.0
"MULE-16453",31,1.0,31,1.0,0,0.0
