"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TIMOB-26981",74,5.0,74,5.0,0,0.0
"TIMOB-26980",31,5.0,31,5.0,0,0.0
"TIMOB-26979",58,5.0,55,5.0,3,0.0
"TIMOB-26961",96,8.0,96,8.0,0,0.0
"TIMOB-26957",19,13.0,42,13.0,-23,0.0
"TIMOB-26908",42,3.0,21,3.0,21,0.0
"TIMOB-26903",190,5.0,190,5.0,0,0.0
"TIMOB-26891",12,3.0,9,3.0,3,0.0
"TIMOB-26888",23,3.0,23,3.0,0,0.0
"TIMOB-26886",20,3.0,20,3.0,0,0.0
"TIMOB-26884",9,3.0,9,3.0,0,0.0
"TIMOB-26879",53,-1.0,53,1.0,0,-2.0
"TIMOB-26869",176,3.0,176,3.0,0,0.0
"TIMOB-26865",89,5.0,90,5.0,-1,0.0
"TIMOB-26860",313,8.0,88,8.0,225,0.0
"TIMOB-26859",249,5.0,248,5.0,1,0.0
"TIMOB-26850",115,3.0,115,3.0,0,0.0
"TIMOB-26847",78,3.0,78,3.0,0,0.0
"TIMOB-26843",348,8.0,289,8.0,59,0.0
"TIMOB-26835",61,5.0,61,5.0,0,0.0
"TIMOB-26834",49,5.0,49,5.0,0,0.0
"TIMOB-26833",49,1.0,49,1.0,0,0.0
"TIMOB-26826",20,5.0,20,5.0,0,0.0
"TIMOB-26824",43,3.0,43,3.0,0,0.0
"TIMOB-26797",99,5.0,79,5.0,20,0.0
"TIMOB-26789",31,3.0,31,3.0,0,0.0
"TIMOB-26788",27,5.0,27,5.0,0,0.0
"TIMOB-26785",15,5.0,15,5.0,0,0.0
"TIMOB-26779",61,2.0,61,2.0,0,0.0
"TIMOB-26776",51,8.0,51,8.0,0,0.0
"TIMOB-26774",191,5.0,191,5.0,0,0.0
"TIMOB-26766",62,5.0,62,5.0,0,0.0
"TIMOB-26758",149,5.0,33,5.0,116,0.0
"TIMOB-26748",17,3.0,17,3.0,0,0.0
"TIMOB-26746",197,3.0,186,3.0,11,0.0
"TIMOB-26742",34,13.0,27,13.0,7,0.0
"TIMOB-26740",14,2.0,14,2.0,0,0.0
"TIMOB-26729",96,13.0,96,13.0,0,0.0
"TIMOB-26727",276,5.0,276,5.0,0,0.0
"TIMOB-26726",16,1.0,16,1.0,0,0.0
"TIMOB-26725",1148,1.0,1148,1.0,0,0.0
"TIMOB-26719",132,3.0,96,3.0,36,0.0
"TIMOB-26714",93,8.0,93,8.0,0,0.0
"TIMOB-26713",133,8.0,132,8.0,1,0.0
"TIMOB-26705",169,2.0,168,2.0,1,0.0
"TIMOB-26704",68,5.0,68,5.0,0,0.0
"TIMOB-26703",75,1.0,75,1.0,0,0.0
"TIMOB-26700",11,13.0,11,13.0,0,0.0
"TIMOB-26689",81,8.0,80,8.0,1,0.0
"TIMOB-26688",77,3.0,77,3.0,0,0.0
"TIMOB-26681",62,8.0,60,8.0,2,0.0
"TIMOB-26674",30,-1.0,30,3.0,0,-4.0
"TIMOB-26672",120,5.0,120,5.0,0,0.0
"TIMOB-26670",33,21.0,33,21.0,0,0.0
"TIMOB-26669",33,8.0,44,8.0,-11,0.0
"TIMOB-26667",54,3.0,59,3.0,-5,0.0
"TIMOB-26664",23,3.0,23,3.0,0,0.0
"TIMOB-26660",70,5.0,69,5.0,1,0.0
"TIMOB-26651",64,5.0,64,5.0,0,0.0
"TIMOB-26648",79,3.0,79,3.0,0,0.0
"TIMOB-26645",109,3.0,109,3.0,0,0.0
"TIMOB-26638",113,5.0,77,5.0,36,0.0
"TIMOB-26637",58,1.0,57,1.0,1,0.0
"TIMOB-26636",75,1.0,75,1.0,0,0.0
"TIMOB-26633",45,-1.0,45,1.0,0,-2.0
"TIMOB-26632",64,5.0,50,5.0,14,0.0
"TIMOB-26613",39,5.0,39,5.0,0,0.0
"TIMOB-26601",165,-1.0,165,5.0,0,-6.0
"TIMOB-26597",51,3.0,51,3.0,0,0.0
"TIMOB-26595",64,3.0,61,3.0,3,0.0
"TIMOB-26594",259,1.0,250,1.0,9,0.0
"TIMOB-26590",197,-1.0,197,9.0,0,-10.0
"TIMOB-26587",32,3.0,32,3.0,0,0.0
"TIMOB-26586",87,-1.0,87,3.0,0,-4.0
"TIMOB-26580",25,3.0,25,3.0,0,0.0
"TIMOB-26579",38,5.0,38,5.0,0,0.0
"TIMOB-26578",53,5.0,41,5.0,12,0.0
"TIMOB-26577",21,5.0,21,5.0,0,0.0
"TIMOB-26575",24,8.0,24,8.0,0,0.0
"TIMOB-26565",184,5.0,184,5.0,0,0.0
"TIMOB-26564",212,5.0,212,5.0,0,0.0
"TIMOB-26562",69,3.0,77,3.0,-8,0.0
"TIMOB-26560",77,3.0,77,3.0,0,0.0
"TIMOB-26559",76,-1.0,76,5.0,0,-6.0
"TIMOB-26556",77,3.0,76,3.0,1,0.0
"TIMOB-26555",317,7.0,317,7.0,0,0.0
"TIMOB-26551",109,1.0,109,1.0,0,0.0
"TIMOB-26550",137,5.0,137,5.0,0,0.0
"TIMOB-26549",86,5.0,86,5.0,0,0.0
"TIMOB-26545",65,8.0,45,8.0,20,0.0
"TIMOB-26540",80,5.0,80,5.0,0,0.0
"TIMOB-26539",130,1.0,131,1.0,-1,0.0
"TIMOB-26538",347,7.0,327,7.0,20,0.0
"TIMOB-26537",65,5.0,65,5.0,0,0.0
"TIMOB-26535",62,5.0,62,5.0,0,0.0
"TIMOB-26534",76,3.0,76,3.0,0,0.0
"TIMOB-26533",465,5.0,463,5.0,2,0.0
"TIMOB-26529",18,2.0,18,2.0,0,0.0
"TIMOB-26525",69,5.0,69,5.0,0,0.0
"TIMOB-26524",63,5.0,53,"8.0",10,-3.0
"TIMOB-26521",66,8.0,66,8.0,0,0.0
"TIMOB-26518",258,3.0,258,3.0,0,0.0
"TIMOB-26517",23,1.0,23,1.0,0,0.0
"TIMOB-26516",89,2.0,24,2.0,65,0.0
"TIMOB-26513",29,3.0,29,3.0,0,0.0
"TIMOB-26510",69,8.0,69,8.0,0,0.0
"TIMOB-26508",72,5.0,72,5.0,0,0.0
"TIMOB-26506",13,1.0,13,1.0,0,0.0
"TIMOB-26503",281,8.0,281,8.0,0,0.0
"TIMOB-26498",105,8.0,105,"8.0",0,0.0
"TIMOB-26496",13,2.0,13,2.0,0,0.0
"TIMOB-26484",57,5.0,57,5.0,0,0.0
"TIMOB-26481",76,1.0,76,1.0,0,0.0
"TIMOB-26479",27,3.0,27,3.0,0,0.0
"TIMOB-26477",549,3.0,255,3.0,294,0.0
"TIMOB-26467",11,-1.0,11,8.0,0,-9.0
"TIMOB-26466",10,-1.0,10,8.0,0,-9.0
"TIMOB-26464",54,5.0,56,5.0,-2,0.0
"TIMOB-26460",139,13.0,139,13.0,0,0.0
"TIMOB-26459",126,5.0,96,5.0,30,0.0
"TIMOB-26457",39,5.0,39,5.0,0,0.0
"TIMOB-26455",18,3.0,18,3.0,0,0.0
"TIMOB-26451",37,8.0,36,8.0,1,0.0
"TIMOB-26447",245,-1.0,245,2.0,0,-3.0
"TIMOB-26444",68,3.0,68,3.0,0,0.0
"TIMOB-26436",23,5.0,23,5.0,0,0.0
"TIMOB-26433",203,3.0,203,3.0,0,0.0
"TIMOB-26427",156,13.0,156,13.0,0,0.0
"TIMOB-26424",26,5.0,26,5.0,0,0.0
"TIMOB-26415",42,11.0,42,11.0,0,0.0
"TIMOB-26411",39,13.0,39,13.0,0,0.0
