"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TISTUD-9159",51,5.0,51,"5.0",0,0.0
"TISTUD-9156",38,3.0,45,"3.0",-7,0.0
"TISTUD-9151",72,5.0,72,5.0,0,0.0
"TISTUD-9148",20,3.0,39,3.0,-19,0.0
"TISTUD-9145",16,5.0,16,5.0,0,0.0
"TISTUD-9142",74,3.0,69,3.0,5,0.0
"TISTUD-9140",115,3.0,115,3.0,0,0.0
"TISTUD-9138",27,2.0,27,2.0,0,0.0
"TISTUD-9137",75,3.0,75,3.0,0,0.0
"TISTUD-9129",379,8.0,379,8.0,0,0.0
"TISTUD-9126",41,3.0,41,3.0,0,0.0
"TISTUD-9125",198,3.0,198,3.0,0,0.0
"TISTUD-9123",101,3.0,101,3.0,0,0.0
"TISTUD-9121",28,5.0,27,5.0,1,0.0
"TISTUD-9118",195,3.0,190,3.0,5,0.0
"TISTUD-9117",84,5.0,83,5.0,1,0.0
"TISTUD-9116",367,3.0,16,3.0,351,0.0
"TISTUD-9113",20,3.0,20,3.0,0,0.0
"TISTUD-9111",19,3.0,16,3.0,3,0.0
"TISTUD-9110",191,3.0,178,3.0,13,0.0
"TISTUD-9108",12,5.0,12,5.0,0,0.0
"TISTUD-9107",40,5.0,37,5.0,3,0.0
"TISTUD-9101",12,5.0,12,5.0,0,0.0
"TISTUD-9099",31,5.0,31,5.0,0,0.0
"TISTUD-9097",40,3.0,37,3.0,3,0.0
"TISTUD-9093",37,3.0,27,3.0,10,0.0
"TISTUD-9092",34,3.0,34,3.0,0,0.0
"TISTUD-9090",160,3.0,160,3.0,0,0.0
"TISTUD-9086",33,3.0,33,3.0,0,0.0
"TISTUD-9085",34,5.0,31,5.0,3,0.0
"TISTUD-9082",27,8.0,27,8.0,0,0.0
"TISTUD-9075",75,5.0,73,5.0,2,0.0
"TISTUD-9063",54,3.0,20,"2.0",34,1.0
"TISTUD-9060",82,5.0,82,5.0,0,0.0
"TISTUD-9055",76,3.0,76,3.0,0,0.0
"TISTUD-9053",76,5.0,76,5.0,0,0.0
"TISTUD-9048",106,3.0,106,3.0,0,0.0
"TISTUD-9047",51,5.0,51,5.0,0,0.0
"TISTUD-9045",54,5.0,54,5.0,0,0.0
"TISTUD-9043",43,5.0,43,5.0,0,0.0
"TISTUD-9042",18,3.0,18,3.0,0,0.0
"TISTUD-9040",13,8.0,12,8.0,1,0.0
"TISTUD-9036",153,8.0,153,8.0,0,0.0
"TISTUD-9035",94,5.0,94,5.0,0,0.0
"TISTUD-9031",40,3.0,40,3.0,0,0.0
"TISTUD-9029",43,3.0,43,3.0,0,0.0
"TISTUD-9027",42,3.0,42,3.0,0,0.0
"TISTUD-9026",16,8.0,16,8.0,0,0.0
"TISTUD-9019",21,13.0,21,13.0,0,0.0
"TISTUD-9018",45,13.0,44,13.0,1,0.0
"TISTUD-9017",12,5.0,12,5.0,0,0.0
"TISTUD-9016",31,8.0,31,8.0,0,0.0
"TISTUD-9006",34,3.0,12,3.0,22,0.0
"TISTUD-9004",16,2.0,16,2.0,0,0.0
"TISTUD-8998",20,5.0,20,5.0,0,0.0
"TISTUD-8997",14,5.0,10,5.0,4,0.0
"TISTUD-8991",15,8.0,15,8.0,0,0.0
"TISTUD-8984",42,5.0,42,5.0,0,0.0
"TISTUD-8983",48,5.0,48,5.0,0,0.0
"TISTUD-8979",24,5.0,24,5.0,0,0.0
