"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"USERGRID-1268",26,8.0,26,8.0,0,0.0
"USERGRID-1267",36,3.0,36,3.0,0,0.0
"USERGRID-1256",0,1.0,0,1.0,0,0.0
"USERGRID-1239",30,-1.0,30,3.0,0,-4.0
"USERGRID-1211",11,3.0,22,3.0,-11,0.0
"USERGRID-1210",6,3.0,6,3.0,0,0.0
"USERGRID-1203",0,1.0,0,1.0,0,0.0
"USERGRID-1191",14,3.0,14,3.0,0,0.0
"USERGRID-1187",31,2.0,30,2.0,1,0.0
"USERGRID-1182",0,2.0,0,2.0,0,0.0
"USERGRID-1124",136,1.0,136,1.0,0,0.0
"USERGRID-1119",0,3.0,0,3.0,0,0.0
"USERGRID-1118",14,3.0,14,3.0,0,0.0
"USERGRID-1115",19,5.0,19,5.0,0,0.0
"USERGRID-1113",36,2.0,35,2.0,1,0.0
"USERGRID-1106",15,3.0,15,3.0,0,0.0
"USERGRID-1101",22,3.0,0,3.0,22,0.0
"USERGRID-1100",0,1.0,0,1.0,0,0.0
"USERGRID-1099",17,5.0,17,5.0,0,0.0
"USERGRID-1091",20,1.0,20,1.0,0,0.0
"USERGRID-1079",69,5.0,0,5.0,69,0.0
"USERGRID-1077",108,8.0,108,8.0,0,0.0
"USERGRID-1076",43,5.0,43,5.0,0,0.0
"USERGRID-1075",25,5.0,25,5.0,0,0.0
"USERGRID-1074",0,1.0,0,1.0,0,0.0
"USERGRID-1073",0,1.0,0,1.0,0,0.0
"USERGRID-1072",0,1.0,0,1.0,0,0.0
"USERGRID-1071",0,1.0,0,1.0,0,0.0
"USERGRID-1069",0,1.0,0,"3.0",0,-2.0
"USERGRID-1068",111,2.0,0,2.0,111,0.0
"USERGRID-1067",30,3.0,0,3.0,30,0.0
"USERGRID-1058",17,3.0,17,3.0,0,0.0
"USERGRID-1052",25,5.0,0,"8.0",25,-3.0
"USERGRID-1051",20,1.0,20,1.0,0,0.0
"USERGRID-1048",36,3.0,0,3.0,36,0.0
"USERGRID-1038",0,3.0,0,3.0,0,0.0
"USERGRID-1035",20,-1.0,20,2.0,0,-3.0
"USERGRID-1033",0,1.0,0,1.0,0,0.0
"USERGRID-1032",0,2.0,0,2.0,0,0.0
"USERGRID-1031",0,2.0,0,2.0,0,0.0
"USERGRID-1029",17,3.0,0,3.0,17,0.0
"USERGRID-1027",13,8.0,13,8.0,0,0.0
"USERGRID-1026",101,1.0,101,1.0,0,0.0
"USERGRID-1023",0,3.0,0,3.0,0,0.0
"USERGRID-1022",0,1.0,0,1.0,0,0.0
"USERGRID-1018",20,3.0,0,3.0,20,0.0
"USERGRID-1016",67,3.0,0,3.0,67,0.0
"USERGRID-1015",0,3.0,0,3.0,0,0.0
"USERGRID-1013",0,3.0,0,3.0,0,0.0
"USERGRID-1007",0,5.0,0,5.0,0,0.0
"USERGRID-1005",0,2.0,0,2.0,0,0.0
"USERGRID-1000",229,3.0,229,3.0,0,0.0
"USERGRID-993",42,3.0,0,3.0,42,0.0
"USERGRID-992",0,5.0,0,5.0,0,0.0
"USERGRID-991",0,5.0,0,5.0,0,0.0
"USERGRID-950",0,1.0,0,1.0,0,0.0
"USERGRID-941",0,5.0,0,5.0,0,0.0
"USERGRID-939",29,-1.0,29,3.0,0,-4.0
"USERGRID-938",15,3.0,15,3.0,0,0.0
"USERGRID-937",23,1.0,23,1.0,0,0.0
"USERGRID-936",210,1.0,210,1.0,0,0.0
"USERGRID-933",0,3.0,0,3.0,0,0.0
"USERGRID-929",0,1.0,0,1.0,0,0.0
"USERGRID-926",0,3.0,0,3.0,0,0.0
"USERGRID-921",16,3.0,16,3.0,0,0.0
"USERGRID-918",20,5.0,20,"5.0",0,0.0
"USERGRID-914",0,2.0,0,2.0,0,0.0
"USERGRID-912",10,5.0,11,"5.0",-1,0.0
"USERGRID-909",24,5.0,24,5.0,0,0.0
"USERGRID-908",0,1.0,0,1.0,0,0.0
"USERGRID-907",21,3.0,0,3.0,21,0.0
"USERGRID-901",22,-1.0,22,2.0,0,-3.0
"USERGRID-900",39,3.0,39,3.0,0,0.0
"USERGRID-899",52,1.0,52,1.0,0,0.0
"USERGRID-898",0,3.0,0,3.0,0,0.0
"USERGRID-895",0,3.0,0,3.0,0,0.0
"USERGRID-894",0,3.0,0,3.0,0,0.0
"USERGRID-893",0,3.0,0,3.0,0,0.0
"USERGRID-892",0,3.0,0,3.0,0,0.0
"USERGRID-891",0,3.0,0,3.0,0,0.0
"USERGRID-890",0,3.0,0,3.0,0,0.0
"USERGRID-889",0,3.0,0,3.0,0,0.0
