"issue_key","commentId","created","author_username","issue_reporter","issue_created"
"MESOS-126",13192575,"2012-01-24T21:50:42.747+0000","jiraposter@reviews.apache.org","benjaminhindman","2012-01-20T23:44:15.000+0000"
"MESOS-126",13192585,"2012-01-24T21:54:39.109+0000","jiraposter@reviews.apache.org","benjaminhindman","2012-01-20T23:44:15.000+0000"
"MESOS-126",13192592,"2012-01-24T22:00:38.742+0000","jiraposter@reviews.apache.org","benjaminhindman","2012-01-20T23:44:15.000+0000"
"MESOS-2513",14738419,"2015-09-10T08:49:43.835+0000","gyliu","karya","2015-03-17T23:05:38.000+0000"
"MESOS-4064",15062415,"2015-12-17T17:46:11.024+0000","hartem","bmahler","2015-12-03T21:34:53.000+0000"
"MESOS-4064",15066673,"2015-12-21T16:39:19.680+0000","jieyu","bmahler","2015-12-03T21:34:53.000+0000"
"MESOS-8344",16329232,"2018-01-17T19:09:03.185+0000","bmahler","bmahler","2017-12-19T00:26:40.000+0000"
"MESOS-8344",16329246,"2018-01-17T19:17:56.038+0000","bmahler","bmahler","2017-12-19T00:26:40.000+0000"
"MESOS-8344",16329272,"2018-01-17T19:30:34.290+0000","mzhu","bmahler","2017-12-19T00:26:40.000+0000"
"MESOS-6963",15831916,"2017-01-20T15:16:23.417+0000","ipronin","ipronin","2017-01-20T15:13:24.000+0000"
"MESOS-6963",15831921,"2017-01-20T15:17:34.239+0000","haosdent@gmail.com","ipronin","2017-01-20T15:13:24.000+0000"
"MESOS-6963",15834816,"2017-01-23T16:11:44.586+0000","haosdent@gmail.com","ipronin","2017-01-20T15:13:24.000+0000"
"MESOS-9624",16807429,"2019-04-02T06:18:08.146+0000","chhsia0","chhsia0","2019-03-01T19:31:18.000+0000"
"MESOS-9624",16809359,"2019-04-03T23:23:20.286+0000","chhsia0","chhsia0","2019-03-01T19:31:18.000+0000"
"MESOS-9624",16810832,"2019-04-05T13:32:45.884+0000","bbannier","chhsia0","2019-03-01T19:31:18.000+0000"
"MESOS-9624",16812416,"2019-04-08T13:14:23.995+0000","bennoe","chhsia0","2019-03-01T19:31:18.000+0000"
"MESOS-9624",16812814,"2019-04-08T21:30:03.123+0000","chhsia0","chhsia0","2019-03-01T19:31:18.000+0000"
"MESOS-8203",16751538,"2019-01-24T20:20:15.139+0000","vinodkone","alexr","2017-11-10T00:32:36.000+0000"
"MESOS-4020",15029128,"2015-11-26T17:38:18.877+0000","alexr","alexr","2015-11-26T09:47:18.000+0000"
"MESOS-4020",15033562,"2015-12-01T11:57:42.767+0000","mcypark","alexr","2015-11-26T09:47:18.000+0000"
"MESOS-6080",15446807,"2016-08-29T19:21:56.296+0000","a10gupta","a10gupta","2016-08-24T16:06:29.000+0000"
