"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
1,0,1,1,0,"2014-08-01T09:42:59.000+0000",True,False,False,False,"APSTUD-8257","Bug"
0,0,0,0,0,"2013-12-11T14:18:59.000+0000",False,False,False,False,"APSTUD-8061","Bug"
0,2,0,0,0,"2013-10-29T21:57:35.000+0000",False,False,False,False,"APSTUD-8026","Improvement"
1,0,1,5,0,"2012-12-20T07:10:15.000+0000",False,False,False,False,"APSTUD-7638","Bug"
0,0,0,0,0,"2012-12-20T02:12:05.000+0000",False,False,False,False,"APSTUD-7634","Bug"
0,0,0,0,0,"2012-12-03T23:42:57.000+0000",False,False,False,False,"APSTUD-7594","Story"
0,1,0,0,0,"2012-11-23T16:44:59.000+0000",True,False,False,False,"APSTUD-7579","Bug"
0,0,0,0,0,"2012-11-21T14:22:24.000+0000",False,False,False,False,"APSTUD-7576","Story"
0,0,0,0,0,"2012-11-21T14:21:36.000+0000",False,False,False,False,"APSTUD-7575","Story"
0,0,0,0,0,"2012-11-19T20:26:09.000+0000",False,False,False,False,"APSTUD-7572","Story"
0,0,0,0,0,"2012-10-23T13:01:15.000+0000",True,True,True,False,"APSTUD-7524","Bug"
0,0,0,0,0,"2012-10-16T19:32:45.000+0000",False,False,False,False,"APSTUD-7512","Improvement"
0,0,0,0,0,"2012-10-09T19:28:59.000+0000",False,False,False,False,"APSTUD-7500","Bug"
0,0,0,0,0,"2012-09-21T05:46:01.000+0000",False,False,False,False,"APSTUD-7442","Bug"
0,0,0,0,0,"2012-09-20T10:46:52.000+0000",False,False,False,False,"APSTUD-7438","Bug"
0,0,0,0,0,"2012-09-13T08:03:58.000+0000",False,True,True,False,"APSTUD-7410","Bug"
0,0,0,0,2,"2012-09-03T03:20:42.000+0000",False,False,False,False,"APSTUD-7367","Bug"
0,0,0,0,0,"2012-09-03T00:47:47.000+0000",True,False,False,False,"APSTUD-7366","Bug"
0,0,0,0,0,"2012-08-30T13:44:15.000+0000",True,False,False,False,"APSTUD-7358","Improvement"
0,1,0,0,3,"2012-08-29T11:35:10.000+0000",False,False,False,False,"APSTUD-7352","Improvement"
1,0,1,1,0,"2012-08-25T14:58:11.000+0000",True,False,False,False,"APSTUD-7339","Bug"
0,0,0,0,0,"2012-08-23T06:56:26.000+0000",False,False,False,False,"APSTUD-7330","Bug"
0,0,0,0,0,"2012-08-21T14:08:05.000+0000",True,False,False,False,"APSTUD-7324","Bug"
0,0,0,0,0,"2012-08-20T03:09:38.000+0000",False,False,False,False,"APSTUD-7318","Bug"
