"issue_key","issuetype","created","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK"
"TISTUD-9159","Bug","2018-05-02T09:09:36.000+0000",3,1,0,False,False,False,0,False,0
"TISTUD-9156","Improvement","2018-11-26T15:41:33.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-9148","Improvement","2018-10-31T15:47:12.000+0000",0,0,0,False,False,False,0,False,2
"TISTUD-9145","Bug","2018-10-19T11:01:30.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-9142","Bug","2018-08-20T12:55:58.000+0000",0,0,0,True,False,False,0,True,0
"TISTUD-9140","Bug","2018-10-12T10:29:04.000+0000",0,1,1,True,False,False,4,True,0
"TISTUD-9138","Improvement","2018-10-10T13:28:18.000+0000",2,0,0,True,False,False,0,False,1
"TISTUD-9137","Bug","2018-10-10T11:57:49.000+0000",3,1,1,False,False,False,0,False,0
"TISTUD-9126","Bug","2018-09-17T21:57:48.000+0000",4,0,1,False,False,False,0,True,0
"TISTUD-9125","Bug","2018-09-12T06:45:52.000+0000",3,0,0,True,True,False,0,False,0
"TISTUD-9121","Bug","2018-09-07T09:53:41.000+0000",0,0,0,False,False,False,0,False,2
"TISTUD-9118","Bug","2018-09-04T07:16:05.000+0000",0,0,0,True,True,False,0,False,0
"TISTUD-9117","Bug","2018-08-30T10:48:48.000+0000",0,0,0,True,False,False,0,False,1
"TISTUD-9116","Bug","2018-08-30T05:41:44.000+0000",0,0,0,True,True,False,0,False,0
"TISTUD-9113","Bug","2018-08-23T09:27:40.000+0000",0,0,0,False,False,False,0,True,0
"TISTUD-9111","Bug","2018-08-17T06:24:24.000+0000",0,0,0,False,False,False,0,False,1
"TISTUD-9108","Bug","2018-08-01T04:47:37.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-9101","Bug","2018-07-12T23:42:43.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-9097","Bug","2018-07-04T04:30:11.000+0000",2,1,1,False,False,False,0,True,0
"TISTUD-9093","Bug","2018-06-27T17:47:01.000+0000",2,0,1,False,False,False,0,True,0
"TISTUD-9092","Bug","2018-06-27T03:26:42.000+0000",0,0,0,False,True,False,0,False,0
"TISTUD-9086","Improvement","2018-06-11T10:57:12.000+0000",2,0,0,False,False,False,0,False,0
"TISTUD-9085","Improvement","2018-06-08T16:44:51.000+0000",1,0,0,False,False,False,0,False,0
"TISTUD-9075","Bug","2018-05-04T17:49:43.000+0000",3,0,1,True,False,False,0,True,0
"TISTUD-9063","Story","2018-04-17T04:24:42.000+0000",0,0,0,False,False,False,2,False,4
"TISTUD-9060","Bug","2018-04-13T17:07:50.000+0000",8,0,0,False,False,False,0,True,0
"TISTUD-9055","Bug","2018-04-03T04:10:00.000+0000",0,0,0,True,False,False,0,False,0
"TISTUD-9053","Bug","2018-04-02T08:30:37.000+0000",2,1,0,True,True,False,0,True,0
"TISTUD-9048","Bug","2018-03-28T03:40:32.000+0000",5,1,0,True,True,False,0,False,0
"TISTUD-9047","Bug","2018-03-27T22:05:00.000+0000",3,0,1,True,False,False,0,True,0
"TISTUD-9045","Bug","2018-03-27T07:18:20.000+0000",0,0,0,False,False,False,0,True,0
"TISTUD-9043","Bug","2018-03-22T03:58:35.000+0000",0,0,0,True,False,False,0,False,0
"TISTUD-9042","Bug","2018-03-22T03:25:40.000+0000",0,0,0,False,False,False,0,False,2
"TISTUD-9040","Bug","2018-03-20T07:45:40.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-9035","Bug","2018-03-14T04:27:25.000+0000",3,1,0,False,False,False,0,False,0
"TISTUD-9031","Bug","2018-03-09T15:57:20.000+0000",0,0,0,False,False,False,0,False,0
