"issue_key","issuetype","created","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK"
"XD-3744","Improvement","2016-02-22T15:27:31.000+0000",0,0,0,True,False,False,1,False,0
"XD-3743","Bug","2016-02-17T14:28:31.000+0000",0,0,0,False,False,False,0,False,0
"XD-3742","Improvement","2016-02-16T14:59:06.000+0000",0,0,0,False,False,False,0,False,0
"XD-3741","Bug","2016-02-13T19:04:24.000+0000",0,0,0,True,False,False,0,True,1
"XD-3740","Bug","2016-02-11T17:45:54.000+0000",0,0,0,False,False,False,0,False,0
"XD-3739","Bug","2016-02-05T16:01:49.000+0000",0,0,0,True,False,False,0,False,2
"XD-3738","Improvement","2016-02-03T09:40:05.000+0000",0,0,0,False,False,False,0,False,0
"XD-3737","Bug","2016-02-02T17:52:11.000+0000",0,0,0,False,False,False,0,False,1
"XD-3736","Improvement","2016-02-01T19:00:42.000+0000",0,0,0,False,False,False,0,False,0
"XD-3734","Bug","2016-01-15T19:55:40.000+0000",0,0,0,False,False,False,0,False,1
"XD-3733","Improvement","2016-01-14T13:10:10.000+0000",0,0,0,False,False,False,0,False,0
"XD-3731","Improvement","2016-01-13T15:17:03.000+0000",0,0,0,True,False,False,1,False,0
"XD-3725","Bug","2015-12-17T18:11:37.000+0000",0,0,0,False,False,False,0,False,1
"XD-3721","Bug","2015-12-14T18:40:55.000+0000",0,0,0,False,False,False,1,True,0
"XD-3718","Improvement","2015-12-08T14:19:48.000+0000",0,0,0,False,False,False,0,False,0
"XD-3716","Improvement","2015-12-02T23:15:01.000+0000",0,0,0,False,False,False,0,False,1
"XD-3715","Story","2015-11-30T15:11:45.000+0000",0,0,0,False,False,False,0,False,0
"XD-3714","Story","2015-11-30T14:33:00.000+0000",0,0,0,False,False,False,0,False,0
"XD-3709","Bug","2015-11-21T16:59:25.000+0000",0,0,0,True,False,False,0,False,1
"XD-3708","Story","2015-11-16T19:16:45.000+0000",0,0,0,False,False,False,0,False,0
"XD-3702","Story","2015-11-11T16:48:34.000+0000",0,0,0,False,False,False,0,False,0
"XD-3701","Story","2015-11-11T15:44:36.000+0000",0,0,0,True,False,False,0,False,0
"XD-3699","Improvement","2015-11-09T22:58:04.000+0000",0,0,0,False,False,False,0,False,0
"XD-3698","Bug","2015-11-09T20:58:13.000+0000",0,0,0,False,False,False,0,False,0
"XD-3697","Bug","2015-11-09T16:32:05.000+0000",0,0,0,False,True,False,0,False,0
"XD-3696","Story","2015-11-09T16:25:19.000+0000",0,0,0,False,False,False,0,False,0
"XD-3695","Story","2015-11-09T16:24:29.000+0000",0,0,0,False,False,False,0,False,0
"XD-3693","Story","2015-11-06T16:15:53.000+0000",0,0,0,False,False,False,0,False,2
"XD-3692","Story","2015-11-06T16:09:22.000+0000",0,0,0,False,False,False,0,False,0
"XD-3691","Bug","2015-11-06T02:14:48.000+0000",0,0,0,False,False,False,0,True,0
"XD-3690","Story","2015-11-05T21:23:45.000+0000",0,0,0,False,False,False,0,False,1
"XD-3689","Story","2015-11-05T14:03:33.000+0000",0,0,0,False,False,False,0,False,0
"XD-3685","Bug","2015-11-02T20:54:40.000+0000",0,0,0,True,True,False,1,False,0
"XD-3684","Bug","2015-11-02T19:30:30.000+0000",0,0,0,False,False,False,0,False,0
"XD-3683","Bug","2015-11-02T19:27:53.000+0000",0,0,0,True,False,False,0,False,0
"XD-3673","Bug","2015-11-02T16:59:40.000+0000",0,0,0,False,False,False,0,False,1
"XD-3672","Story","2015-11-02T15:34:40.000+0000",0,0,0,False,False,False,0,False,0
"XD-3670","Story","2015-10-30T23:49:41.000+0000",0,0,0,False,False,False,0,False,0
"XD-3669","Story","2015-10-30T23:17:51.000+0000",0,0,0,False,False,False,0,False,0
"XD-3654","Story","2015-10-29T14:47:35.000+0000",0,0,0,False,False,False,0,False,0
"XD-3652","Bug","2015-10-28T18:46:20.000+0000",0,0,0,False,False,False,0,False,0
