"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"CLOV-1956","Bug","2016-06-21T13:17:27.000+0000",101,75.7918,10.349,33.21202854230377,5.6966,7.224913353720694,9.9841,10.071067811865476
"CLOV-1953","Bug","2016-06-21T04:33:35.000+0000",19,-96.48,16.019,44.80952380952381,31.9333,50.97285714285713,60.1829,13.954451150103322
"CLOV-1951","Improvement","2016-06-15T10:14:15.000+0000",140,-243.6314,36.5415,103.5986394557823,63.4716,83.01610544217687,73.5032,25.58317958127243
"CLOV-1892","New Feature","2016-02-18T11:45:43.000+0000",10,37.9,8.0444,31.22222222222222,10.2089,10.806666666666665,15.5522,8.477225575051662
"CLOV-1890","New Feature","2016-02-18T11:38:24.000+0000",24,72.3235,8.2,28.5,6.277,8.558399999999999,11.4856,8.477225575051662
"CLOV-1888","New Feature","2016-02-18T10:58:23.000+0000",14,63.4862,8.2769,36.07692307692308,7.6338,8.982307692307693,11.7954,8.477225575051662
"CLOV-1887","New Feature","2016-02-18T10:53:04.000+0000",20,21.565,14.0,55.0,15.22,16.594500000000004,17.7455,12.486832980505138
"CLOV-1884","Bug","2016-02-12T06:07:02.000+0000",57,62.3003,7.869,31.74137931034483,8.1719,9.370000000000001,11.581,7.743416490252569
"CLOV-1861","Task","2015-12-08T14:29:12.000+0000",37,70.9611,15.8811,39.7027027027027,12.5535,18.965135135135135,10.7697,8.477225575051662
"CLOV-1859","Improvement","2015-12-08T12:35:05.000+0000",14,22.41,14.0,41.66666666666667,13.86,17.470000000000006,21.4667,12.486832980505138
"CLOV-1852","Task","2015-12-04T11:35:15.000+0000",3,120.205,0.8,2.0,-3.01,3.120000000000001,-1.35,3.0
"CLOV-1848","Task","2015-12-03T13:19:10.000+0000",21,71.2918,9.9143,34.30952380952381,5.924,6.472857142857141,9.671,9.70820393249937
"CLOV-1834","Bug","2015-11-03T23:04:34.000+0000",48,3.805,25.6,86.0,25.15,40.2138,29.4242,17.491376746189438
"CLOV-1827","Improvement","2015-10-28T15:32:20.000+0000",27,72.045,14.6667,60.0,10.6633,17.433999999999997,13.0427,10.745966692414834
"CLOV-1825","Improvement","2015-10-26T10:40:38.000+0000",24,52.05,12.9333,44.83333333333333,11.9617,12.550000000000004,10.4367,10.745966692414834
"CLOV-1824","Task","2015-10-23T12:37:35.000+0000",54,104.4342,9.0035,27.771929824561404,3.413,6.414210526315792,5.5611,7.47213595499958
