"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"DURACLOUD-1147","Bug","2017-09-20T18:29:49.000-0500",510,-427.0436,65.0909,168.28999568779648,104.8291,139.38019836136266,104.5102,39.193922141707716
"DURACLOUD-1119","Bug","2017-06-28T14:24:53.000-0500",37,39.5348,19.0821,50.269230769230774,12.5894,14.647692307692303,15.5851,15.84523257866513
"DURACLOUD-952","Story","2015-11-04T17:44:59.000-0600",44,70.8165,7.6848,32.84848484848485,7.0255,7.954696969696968,9.7305,7.47213595499958
"DURACLOUD-941","Story","2015-09-16T14:11:47.000-0500",126,73.7503,13.7309,47.50542635658915,9.3821,12.31813953488372,9.1084,11.12403840463596
"DURACLOUD-923","Story","2015-06-23T10:15:43.000-0500",98,38.3218,17.6444,64.31313131313131,16.1123,19.28606060606061,13.5738,13.488088481701515
"DURACLOUD-886","Story","2014-09-24T15:30:29.000-0500",230,69.2225,13.1447,46.90425531914894,9.4422,12.507106382978726,10.6691,11.12403840463596
"DURACLOUD-877","Story","2014-05-16T13:30:43.000-0500",68,53.196,14.949,53.549019607843135,11.4706,13.38406862745098,12.2399,13.0
"DURACLOUD-838","New Feature","2013-07-30T22:32:25.000-0500",63,78.0465,13.258,37.492753623188406,8.0872,9.387826086956519,7.0532,11.366600265340756
"DURACLOUD-832","Bug","2013-06-27T15:09:00.000-0500",69,28.76,19.5,66.25,19.185,25.946875,17.6856,13.246950765959598
"DURACLOUD-828","Improvement","2013-06-04T21:06:22.000-0500",47,72.1333,10.522,34.815602836879435,7.0902,8.349929078014185,9.73,10.071067811865476
"DURACLOUD-825","Bug","2013-05-29T22:34:23.000-0500",193,60.5091,13.4256,40.670614777213764,10.2573,11.869012972363223,10.7845,11.755950357709132
"DURACLOUD-824","Improvement","2013-05-28T14:52:31.000-0500",39,39.2654,16.6256,67.2051282051282,17.4713,18.600769230769224,9.1051,8.477225575051662
"DURACLOUD-813","Improvement","2013-05-23T22:46:42.000-0500",65,46.44,17.4424,51.18181818181819,14.98,18.69136363636364,12.8302,13.246950765959598
"DURACLOUD-809","Bug","2013-04-26T00:41:10.000-0500",39,80.785,9.0,40.0,6.96,9.529500000000002,8.9105,6.872983346207417
"DURACLOUD-806","Bug","2013-04-23T14:41:58.000-0500",108,64.403,13.5152,45.60606060606061,8.8309,10.94412121212121,11.5853,12.219544457292887
"DURACLOUD-804","Improvement","2013-04-15T21:46:49.000-0500",61,28.9488,20.3,69.5,17.1713,23.05078125,18.8786,16.41640786499874
"DURACLOUD-778","New Feature","2013-02-05T16:49:04.000-0600",126,52.7643,13.4208,55.25736434108527,12.3092,14.36279069767442,11.6653,10.745966692414834
"DURACLOUD-775","New Feature","2013-01-30T17:21:09.000-0600",87,82.2276,7.8658,24.012422360248447,5.0553,6.285232919254653,8.3584,8.070925528371099
"DURACLOUD-768","Bug","2013-01-14T22:21:09.000-0600",62,55.2629,12.2095,46.39682539682539,10.7683,11.947142857142858,11.38,10.745966692414834
