"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"MDL-55173","Task","2016-07-11T07:50:32.000+0000",19,36.1605,16.0211,50.578947368421055,12.9358,13.851052631578945,14.8611,13.954451150103322
"MDL-55126","Task","2016-07-05T13:42:12.000+0000",38,39.335,24.0,65.0,17.71,25.181500000000007,16.7285,18.491933384829668
"MDL-54988","Task","2016-06-22T15:42:31.000+0000",24,-20.9993,22.6286,63.714285714285715,23.1443,30.418214285714292,30.4589,18.491933384829668
"MDL-54984","Task","2016-06-22T06:44:14.000+0000",128,75.6701,20.7902,60.47222222222222,12.2072,20.906372549019608,12.4422,15.549900398011133
"MDL-54915","Bug","2016-06-14T13:38:33.000+0000",260,42.0767,19.7669,69.07838983050848,16.5512,28.02963559322034,22.1806,14.779218989389747
"MDL-54847","Bug","2016-06-07T04:10:48.000+0000",409,86.8907,11.1743,29.226089417091114,4.1798,5.979646859083193,8.3737,10.591546545162483
"MDL-53196","Task","2016-02-22T18:07:58.000+0000",95,41.8717,19.7333,62.333333333333336,15.7,20.95326666666667,15.4594,15.649110640673518
"MDL-53195","Bug","2016-02-22T17:56:59.000+0000",60,-0.9702,18.5005,53.10045662100457,19.4397,26.352009132420086,27.5052,15.649110640673518
"MDL-53194","Task","2016-02-22T17:54:33.000+0000",55,48.177,15.3636,51.13636363636364,13.3714,15.698727272727275,12.3449,12.486832980505138
"MDL-53193","Task","2016-02-22T17:52:12.000+0000",31,60.7506,14.9806,50.35483870967742,12.4871,16.556451612903224,11.3523,10.745966692414834
"MDL-53192","Task","2016-02-22T17:40:44.000+0000",11,103.3791,4.4,11.0,1.5727,4.194545454545455,6.6391,3.0
"MDL-53190","Task","2016-02-22T17:25:06.000+0000",26,30.7681,18.0923,52.92307692307692,15.4269,16.388076923076923,14.0819,15.24744871391589
"MDL-53189","Task","2016-02-22T15:34:13.000+0000",74,88.9965,7.6589,29.673684210526314,4.6222,6.001578947368422,7.0263,7.242640687119285
"MDL-53188","Task","2016-02-22T15:28:39.000+0000",108,44.1489,19.4416,54.79867256637168,14.1195,17.787212389380535,14.5166,16.133925536563698
"MDL-53187","Task","2016-02-22T15:11:10.000+0000",25,-32.55,17.9333,57.333333333333336,23.7617,31.39,33.9967,15.24744871391589
"MDL-53186","Task","2016-02-22T15:09:18.000+0000",133,41.9198,23.5221,67.56447688564477,18.7572,22.959318734793186,10.4995,16.41640786499874
"MDL-53185","Improvement","2016-02-22T14:40:58.000+0000",12,102.045,2.4,14.333333333333334,0.5167,0.017499999999998295,2.2692,3.0
"MDL-53182","Task","2016-02-22T13:09:24.000+0000",65,52.7425,18.425,61.6875,13.8525,19.076718750000005,13.9089,14.61895003862225
"MDL-53163","Task","2016-02-19T03:57:41.000+0000",29,84.7507,11.2,38.714285714285715,8.3943,15.951785714285712,12.3682,3.0
"MDL-53084","Bug","2016-02-12T10:59:56.000+0000",111,75.497,14.9088,46.04385964912281,9.8092,11.949210526315788,7.069,11.660254037844387
"MDL-53070","Bug","2016-02-11T06:03:11.000+0000",50,26.5494,15.3949,57.717948717948715,13.8623,15.315512820512822,17.5827,13.488088481701515
"MDL-53019","Task","2016-02-07T23:22:00.000+0000",99,86.1023,8.853,30.786324786324784,4.1205,7.444893162393164,10.4875,9.055300708194984
"MDL-52979","Improvement","2016-02-03T12:08:38.000+0000",101,73.6777,14.9363,43.82222222222222,8.3488,10.216111111111111,8.8798,13.099504938362077
"MDL-52960","Task","2016-02-01T19:07:44.000+0000",158,49.7727,19.9879,57.24242424242424,14.5152,17.563818181818185,11.4201,15.96148139681572
"MDL-52959","Task","2016-02-01T19:03:49.000+0000",24,30.9,16.2667,65.66666666666666,14.9117,19.418749999999996,19.0262,13.954451150103322
"MDL-52861","Task","2016-01-21T17:51:27.000+0000",32,64.4693,12.6606,43.77272727272727,8.3662,9.941818181818181,11.2964,11.660254037844387
"MDL-52860","Task","2016-01-21T17:44:21.000+0000",14,35.5107,19.8857,49.714285714285715,11.7843,10.129285714285714,12.7693,15.24744871391589
"MDL-52847","Bug","2016-01-20T23:38:00.000+0000",28,36.2693,21.1455,58.92424242424242,12.2995,16.221818181818186,19.1497,16.41640786499874
"MDL-52803","Task","2016-01-18T14:40:57.000+0000",76,63.3801,15.5966,50.38396624472574,10.961,12.842236286919828,9.4539,13.0
"MDL-52775","Bug","2016-01-15T09:22:31.000+0000",15,3.0775,13.2,39.25,14.8175,17.30625,23.8887,10.745966692414834
