"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"TDQ-16758","Work Item","2019-03-20T06:41:46.000-0500",93,11.2744,16.6813,55.72196261682243,18.3322,29.008738317757008,29.4279,13.954451150103322
"TDQ-16603","Work Item","2019-02-07T04:18:39.000-0600",46,92.1879,12.249,40.826530612244895,6.4874,10.621224489795914,7.7376,9.70820393249937
"TDQ-16473","Work Item","2019-01-16T08:43:04.000-0600",21,88.8343,12.2095,44.80952380952381,6.0857,8.582857142857144,7.1729,10.745966692414834
"TDQ-16472","Work Item","2019-01-16T08:38:27.000-0600",82,55.2104,21.2353,60.14705882352941,16.1168,21.1535294117647,10.1724,14.61895003862225
"TDQ-16445","Work Item","2019-01-14T08:02:29.000-0600",51,-107.1449,27.9925,71.86792452830188,41.3706,51.636792452830186,41.8672,19.431676725154983
"TDQ-16354","Work Item","2018-12-21T01:40:23.000-0600",324,10.8159,26.2137,77.77380952380952,25.3788,33.74341517857143,18.3489,16.25572652532805
"TDQ-16326","Work Item","2018-12-18T02:41:08.000-0600",57,25.55,29.975,90.5625,25.595,31.9121875,10.4203,17.491376746189438
"TDQ-16304","Work Item","2018-12-14T01:25:46.000-0600",124,-63.6349,62.8215,169.80536912751677,59.1509,75.67167785234898,12.2628,21.973665961010276
"TDQ-16300","Work Item","2018-12-13T00:37:28.000-0600",96,41.8008,14.7972,49.06206896551724,13.1925,20.98801724137931,21.4458,12.797958971132712
"TDQ-16235","Work Item","2018-12-04T01:12:30.000-0600",288,52.6115,20.5323,63.266129032258064,15.5477,20.826483870967742,12.0398,15.093386622447824
"TDQ-16219","Work Item","2018-11-29T10:22:44.000-0600",27,81.065,9.3333,46.666666666666664,4.4367,6.806000000000001,10.2573,9.32455532033676
"TDQ-16218","Work Item","2018-11-29T10:22:09.000-0600",27,81.7273,9.2946,45.81720430107527,4.4271,6.375053763440864,9.6068,9.32455532033676
"TDQ-16217","Work Item","2018-11-29T08:10:45.000-0600",331,20.0555,21.5518,68.79668508287293,19.4551,24.72182320441989,18.4509,16.856406460551018
"TDQ-16208","Work Item","2018-11-27T21:55:33.000-0600",82,20.8607,35.981,100.66666666666667,31.2176,39.63428571428572,7.6833,15.24744871391589
"TDQ-16188","Work Item","2018-11-22T01:42:34.000-0600",560,-181.8605,95.2718,244.704602933738,93.1965,121.95225594334849,26.0174,37.92849839314596
"TDQ-16108","Work Item","2018-11-08T01:33:27.000-0600",64,45.3745,13.9048,40.476190476190474,12.7271,16.67995238095238,15.9824,11.94427190999916
"TDQ-16086","New Feature","2018-11-05T01:32:37.000-0600",367,46.3842,25.0365,74.95084269662921,20.6085,28.281353932584274,11.0459,13.781929326423912
"TDQ-16056","Work Item","2018-10-28T22:33:14.000-0500",61,62.7639,12.7235,49.84153005464481,9.5564,13.52207650273224,13.7195,11.366600265340756
"TDQ-16007","Work Item","2018-10-15T22:28:52.000-0500",501,-166.1348,29.7036,79.30099312452253,49.8695,60.06147135217723,51.7318,21.090680674665816
"TDQ-15994","Work Item","2018-10-11T02:05:12.000-0500",108,68.9047,13.6865,43.307162534435264,8.6585,13.526804407713499,13.8174,12.219544457292887
"TDQ-15879","New Feature","2018-09-11T21:33:34.000-0500",9,103.625,12.0,50.0,1.29,4.765000000000001,7.705,10.745966692414834
"TDQ-15858","Work Item","2018-09-11T01:27:27.000-0500",154,40.2249,24.1767,64.51162790697674,18.3312,26.084534883720927,16.0343,18.0
"TDQ-15852","Work Item","2018-09-10T03:32:29.000-0500",27,49.0414,11.6,46.241379310344826,13.6234,15.64551724137931,11.3969,3.0
"TDQ-15846","Work Item","2018-09-07T03:38:20.000-0500",248,34.1521,27.5637,71.4273381294964,22.3084,29.513381294964027,12.6019,17.89966442575134
"TDQ-15845","New Feature","2018-09-07T03:30:44.000-0500",166,77.3916,14.7514,43.36486486486486,7.0607,10.988108108108115,11.5508,13.099504938362077
"TDQ-15793","Work Item","2018-08-24T04:20:39.000-0500",148,50.001,10.0862,39.31794871794872,10.1607,13.512884615384614,16.2199,9.70820393249937
