"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"USERGRID-1268","Story","2016-02-22T15:48:00.000+0000",38,43.5679,10.3619,42.57142857142857,10.6605,12.147857142857141,15.2936,10.071067811865476
"USERGRID-1267","Story","2016-02-16T17:40:52.000+0000",58,21.285,20.0,66.66666666666666,17.7433,19.945999999999998,16.184,16.41640786499874
"USERGRID-1256","Story","2016-02-08T17:14:13.000+0000",12,18.7791,11.6727,47.36363636363637,13.3727,10.617272727272727,14.6709,10.745966692414834
"USERGRID-1211","Story","2016-01-15T02:24:23.000+0000",15,39.33,8.6667,48.333333333333336,11.5,11.189999999999998,13.6133,8.477225575051662
"USERGRID-1210","Story","2016-01-13T20:40:04.000+0000",8,50.665,3.2,20.5,8.18,9.6525,14.3175,3.0
"USERGRID-1203","Story","2016-01-11T16:46:42.000+0000",15,71.7679,14.1714,35.42857142857143,6.7271,6.765000000000001,8.5621,12.486832980505138
"USERGRID-1187","Story","2015-12-30T19:40:02.000+0000",38,37.4544,16.9721,49.406976744186046,13.3764,15.936976744186047,16.09,14.61895003862225
"USERGRID-1091","Story","2015-11-04T21:23:48.000+0000",34,31.9582,17.2857,46.07142857142857,13.1493,14.637999999999998,16.6477,14.61895003862225
"USERGRID-1079","Story","2015-10-28T17:28:33.000+0000",135,61.575,14.3913,42.97132867132867,8.2234,8.413636363636364,10.4812,12.643650760992955
"USERGRID-1077","Story","2015-10-27T23:43:20.000+0000",212,45.1218,19.9836,61.55314009661836,15.5365,26.491884057971014,21.6866,15.649110640673518
"USERGRID-1076","Story","2015-10-27T23:32:09.000+0000",81,41.4386,22.1259,61.48765432098766,17.5408,20.800000000000004,10.9459,16.41640786499874
"USERGRID-1075","Story","2015-10-27T23:27:44.000+0000",44,42.9659,19.4182,64.45454545454545,18.1973,21.122727272727268,9.22,10.745966692414834
"USERGRID-1074","Story","2015-10-27T22:11:01.000+0000",10,69.785,8.0,20.0,6.01,3.8230000000000004,6.527,8.477225575051662
"USERGRID-1073","Story","2015-10-27T21:46:13.000+0000",4,90.99,1.2,36.333333333333336,1.3133,5.189999999999998,5.6133,3.0
"USERGRID-1072","Story","2015-10-27T21:46:04.000+0000",5,12.425,11.6,54.0,12.52,13.54,17.93,8.477225575051662
"USERGRID-1071","Story","2015-10-27T21:45:54.000+0000",5,12.425,11.6,29.0,12.52,8.829999999999998,12.04,8.477225575051662
"USERGRID-1069","Story","2015-10-27T21:41:32.000+0000",6,49.48,10.0,65.0,7.6,9.329999999999998,13.54,8.477225575051662
"USERGRID-1068","Story","2015-10-27T21:40:43.000+0000",159,24.866,30.6403,85.39194139194139,24.8623,31.80635531135531,12.3464,20.029386365926403
"USERGRID-1067","Story","2015-10-27T21:35:38.000+0000",42,59.9175,13.4444,42.5,10.4917,12.846666666666671,11.6622,11.660254037844387
"USERGRID-1058","Story","2015-10-22T15:13:54.000+0000",28,18.2793,19.7714,53.0,17.6657,15.615357142857142,11.9475,16.41640786499874
"USERGRID-1052","Bug","2015-10-21T15:22:36.000+0000",38,53.969,16.0049,42.451219512195124,10.8245,14.32292682926829,14.6288,13.954451150103322
"USERGRID-1048","Story","2015-10-13T18:18:37.000+0000",60,48.5486,14.7492,46.39682539682539,11.7048,13.068571428571424,12.7824,13.0
"USERGRID-1038","Story","2015-09-28T16:10:07.000+0000",8,66.7871,8.5143,35.57142857142857,5.6829,8.984285714285715,13.5714,8.477225575051662
"USERGRID-1029","Bug","2015-09-21T17:26:54.000+0000",33,60.9639,11.5714,28.92857142857143,9.1036,7.90942857142857,8.2334,10.745966692414834
"USERGRID-1027","Bug","2015-09-18T21:51:30.000+0000",22,3.3973,15.3091,51.90909090909091,15.5182,15.541363636363634,20.8286,12.486832980505138
"USERGRID-1023","Story","2015-09-16T18:18:31.000+0000",12,87.9973,8.0364,29.181818181818183,3.7182,5.47909090909091,8.2455,8.477225575051662
"USERGRID-1022","Story","2015-09-15T19:09:42.000+0000",6,32.56,10.0,45.0,9.96,10.272000000000002,14.718,8.477225575051662
"USERGRID-1018","Story","2015-09-11T23:29:20.000+0000",39,87.8821,11.3143,33.04761904761905,4.4795,5.307142857142857,6.739,10.745966692414834
"USERGRID-1016","Story","2015-09-11T22:57:59.000+0000",103,78.2917,12.3304,36.04347826086956,8.053,12.186521739130434,10.553,10.348469228349535
"USERGRID-1015","Story","2015-09-11T16:47:48.000+0000",4,-50.01,1.2,69.66666666666667,20.98,19.32,23.2833,3.0
"USERGRID-1013","Story","2015-09-10T20:48:43.000+0000",10,94.3,8.0444,20.11111111111111,2.3422,0.8633333333333333,3.1178,8.477225575051662
"USERGRID-1005","Story","2015-09-08T17:08:07.000+0000",7,17.445,15.7333,56.0,12.3167,15.325000000000003,21.4117,10.745966692414834
"USERGRID-993","Story","2015-09-02T22:31:47.000+0000",59,37.5511,15.6909,51.34848484848485,12.1208,13.509999999999998,15.7585,13.606601717798213
"USERGRID-992","Story","2015-09-02T20:35:18.000+0000",4,-50.01,27.8667,69.66666666666667,20.98,19.32,23.2833,10.745966692414834
"USERGRID-991","Story","2015-09-02T20:25:11.000+0000",7,87.945,2.4,22.666666666666668,2.4833,3.5500000000000007,6.6867,3.0
"USERGRID-950","Story","2015-08-26T21:53:32.000+0000",9,29.515,3.2,45.5,11.13,12.0075,17.2625,3.0
"USERGRID-941","Story","2015-08-25T16:35:28.000+0000",9,-12.785,8.2,58.0,17.03,14.362500000000004,20.2075,8.477225575051662
"USERGRID-938","Story","2015-08-25T14:52:57.000+0000",31,76.9138,10.15,31.625,6.5063,6.145937499999999,6.8053,9.70820393249937
"USERGRID-937","Story","2015-08-25T00:46:41.000+0000",32,-21.1448,12.7686,40.745098039215684,19.0241,20.946960784313724,27.4603,11.366600265340756
"USERGRID-909","Story","2015-08-13T18:06:37.000+0000",35,52.265,17.2,48.55555555555556,10.4411,13.475000000000001,14.9283,14.61895003862225
"USERGRID-908","Story","2015-08-11T20:28:08.000+0000",4,6.39,27.8667,69.66666666666667,13.1133,11.470000000000006,13.4667,10.745966692414834
"USERGRID-907","Bug","2015-08-11T17:03:13.000+0000",34,67.8246,12.3795,41.205128205128204,7.0287,9.103076923076923,11.9464,11.366600265340756
"USERGRID-900","Bug","2015-08-04T00:04:50.000+0000",52,-19.503,19.0,58.40909090909091,22.8114,25.63254545454545,24.7675,15.84523257866513
"USERGRID-898","Story","2015-07-28T23:50:27.000+0000",13,60.705,4.8,28.666666666666668,7.7733,8.120000000000001,11.15,3.0
"USERGRID-895","Story","2015-07-28T20:20:17.000+0000",12,80.3064,4.4,38.27272727272727,4.7909,6.7636363636363654,9.8518,3.0
"USERGRID-894","Story","2015-07-28T20:20:11.000+0000",11,86.705,4.0,40.0,3.65,7.5909999999999975,11.239,3.0
"USERGRID-893","Story","2015-07-28T20:19:54.000+0000",14,83.0092,5.2,36.07692307692308,4.9108,8.25769230769231,10.8892,3.0
"USERGRID-892","Story","2015-07-28T20:19:38.000+0000",14,83.0092,5.2,36.07692307692308,4.9108,6.808461538461536,9.0769,3.0
"USERGRID-891","Story","2015-07-28T20:19:16.000+0000",10,56.7,3.6,42.333333333333336,7.5867,9.760000000000002,14.2433,3.0
