"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"XD-3744","Story","2016-02-22T15:27:31.000+0000",42,-11.4,13.7667,55.25,20.8117,27.661250000000003,29.3337,11.660254037844387
"XD-3743","Bug","2016-02-17T14:28:31.000+0000",11,67.755,4.8,45.333333333333336,6.79,10.082500000000003,13.6042,3.0
"XD-3742","Improvement","2016-02-16T14:59:06.000+0000",100,55.0308,17.2903,50.99271844660194,11.9807,16.778398058252428,14.7151,14.61895003862225
"XD-3741","Bug","2016-02-13T19:04:24.000+0000",100,-41.095,17.2848,48.515151515151516,24.4567,42.52181818181818,49.0542,14.832159566199232
"XD-3740","Bug","2016-02-11T17:45:54.000+0000",30,49.485,18.6667,66.66666666666666,13.81,15.707,10.883,15.24744871391589
"XD-3739","Bug","2016-02-05T16:01:49.000+0000",179,6.2869,27.2351,75.81958762886597,24.4312,32.77948453608247,21.0467,19.881943016134134
"XD-3738","Story","2016-02-03T09:40:05.000+0000",70,40.3,16.2667,47.611111111111114,13.6006,14.774166666666666,13.2181,13.954451150103322
"XD-3737","Bug","2016-02-02T17:52:11.000+0000",39,63.7107,13.219,35.42857142857143,7.851,13.381428571428572,16.8362,11.94427190999916
"XD-3736","Story","2016-02-01T19:00:42.000+0000",20,32.4343,16.019,68.61904761904762,13.9524,18.22714285714286,19.2333,13.954451150103322
"XD-3734","Bug","2016-01-15T19:55:40.000+0000",9,-145.1,10.0,65.0,34.74,58.785000000000004,75.385,8.477225575051662
"XD-3733","Improvement","2016-01-14T13:10:10.000+0000",26,64.4693,18.7212,52.86363636363637,8.3662,11.654545454545449,13.4382,15.24744871391589
"XD-3731","Bug","2016-01-13T15:17:03.000+0000",243,-185.2575,35.7444,117.48611111111111,56.9858,82.78322916666667,69.0861,22.364916731037084
"XD-3725","Bug","2015-12-17T18:11:37.000+0000",5,-238.16,18.0,65.0,47.72,78.096,99.534,10.745966692414834
