"issue_key","issuetype","created","sp_fluctuate","text_multinomial","text_gaussian","text_bernoulli","text_complement","GROUP"
"MDL-52960","Task","2016-02-01T19:07:44.000+0000",False,0.032576310384200224,0.0,0.00209316553597804,0.14965295089262243,"A"
"MDL-41619","Bug","2013-09-05T10:34:10.000+0000",False,0.11331933861854203,1.0,2.9988062689319727e-05,0.4004598422176672,"A"
"MDL-41189","Sub-task","2013-08-14T08:26:16.000+0000",False,0.21787812617296198,0.0,0.6135070447470559,0.592823718297387,"A"
"MDL-29441","Bug","2011-09-20T22:00:02.000+0000",False,0.1574491262978124,0.0,3.973095846562694e-05,0.49409876065168634,"A"
"MDL-43865","Improvement","2014-01-26T07:32:29.000+0000",False,0.08866807927155376,0.0,6.949433943310959e-06,0.33709170791756216,"A"
"MDL-51682","Improvement","2015-10-07T12:59:29.000+0000",False,0.1470861352328877,0.0,0.00013780859401360868,0.4740447014074668,"A"
"MDL-41133","Improvement","2013-08-12T05:23:32.000+0000",False,0.07958840108493077,0.0,1.1146919204707119e-06,0.31126177188706505,"A"
"MDL-43140","Bug","2013-11-29T21:25:05.000+0000",False,0.047633252773478824,0.0,9.490934148508471e-07,0.20723170078101918,"A"
"MDL-41123","Bug","2013-08-12T03:03:03.000+0000",False,0.039272827164239375,1.0,8.391078365535508e-06,0.17603691412511183,"A"
"MDL-46646","Bug","2014-08-01T10:43:41.000+0000",False,0.11336447218304464,0.0,0.0001384150807310568,0.4005676747003742,"A"
"MDL-42428","Task","2013-10-18T06:28:28.000+0000",False,0.09683151250107247,0.0,1.1812088896427038e-06,0.3591141521484572,"A"
"MDL-43870","Bug","2014-01-26T13:07:25.000+0000",True,0.42828371824183703,1.0,0.1753350498556141,0.7965498341665871,"A"
"MDL-45894","Improvement","2014-06-06T14:37:10.000+0000",True,0.1262190438549156,1.0,0.08381560263390085,0.43018772324571963,"A"
"MDL-44755","Improvement","2014-03-25T14:44:58.000+0000",False,0.06329447828777494,1.0,1.4775601513601171e-05,0.26098693183207966,"A"
"MDL-43664","Bug","2014-01-13T07:43:10.000+0000",False,0.12920640288364835,0.0,8.744312563395733e-06,0.4367732211371201,"A"
"MDL-42199","Bug","2013-10-08T07:54:10.000+0000",False,0.22425728490297278,0.0,0.08123950940729727,0.6017347915016583,"A"
