issue_key,issuetype,created,sp_change,text_multinomial,text_gaussian,text_bernoulli,text_complement,GROUP
TISTUD-8794,Bug,2017-06-14T06:08:38.000+0000,FALSE,0.002300021,0,3.10E-09,0.082005599,A
TISTUD-5662,Bug,2013-11-06T22:24:51.000+0000,FALSE,0.004719339,0,5.40E-35,0.155220985,A
TISTUD-5408,Story,2013-09-18T22:44:16.000+0000,FALSE,0.008501834,0,2.68E-33,0.249401951,A
TISTUD-5076,Improvement,2013-07-03T14:18:08.000+0000,FALSE,0.001844314,0,6.53E-21,0.066815284,A
TISTUD-6251,Bug,2014-03-12T06:27:10.000+0000,FALSE,0.001303782,0,1.53E-25,0.048151625,A
TISTUD-6125,Improvement,2014-02-03T05:47:37.000+0000,FALSE,0.007153026,0,1.01E-24,0.218247181,A
TISTUD-4977,Story,2013-06-17T16:02:34.000+0000,FALSE,0.003563007,0,4.32E-30,0.121697744,A
TISTUD-7804,Bug,2015-10-23T21:55:04.000+0000,FALSE,0.001184838,0,2.67E-30,0.043946829,A
TISTUD-7529,Bug,2015-05-20T23:43:57.000+0000,FALSE,0.001288922,0,2.64E-31,0.047628289,A
TISTUD-6581,Improvement,2014-05-30T15:30:54.000+0000,FALSE,0.007963948,0,8.23E-30,0.237270275,A
TISTUD-5417,Bug,2013-09-20T14:39:42.000+0000,FALSE,0.002953916,0,6.36E-25,0.102980833,A
TISTUD-8890,Improvement,2017-10-13T03:58:17.000+0000,FALSE,0.004194246,0,1.03E-31,0.140311162,A
TISTUD-7466,Story,2015-04-30T08:27:52.000+0000,FALSE,0.004808413,0,3.77E-25,0.15770057,A
TISTUD-5513,Bug,2013-10-11T12:14:15.000+0000,FALSE,0.007046736,0,1.26E-32,0.215685569,A
TISTUD-7208,New Feature,2015-02-17T23:16:06.000+0000,FALSE,0.005488786,0,6.21E-34,0.176184692,A
TISTUD-8641,Bug,2016-10-31T23:39:49.000+0000,FALSE,0.001062784,0,5.20E-33,0.03959435,A
TISTUD-6647,Bug,2014-06-17T22:27:58.000+0000,FALSE,0.000916577,0,4.12E-31,0.034329536,A
TISTUD-5977,Bug,2014-01-05T16:44:45.000+0000,FALSE,0.006171865,0,4.57E-28,0.193967663,A
TISTUD-5059,Story,2013-07-02T13:28:53.000+0000,FALSE,0.01656173,0,3.98E-30,0.394883674,A
TISTUD-7784,Bug,2015-10-16T23:32:54.000+0000,FALSE,0.00126633,0,9.84E-29,0.046831567,A
TISTUD-5417,Bug,2013-09-20T14:39:42.000+0000,FALSE,0.002953916,0,6.36E-25,0.102980833,A
TISTUD-7916,Bug,2015-12-16T08:14:14.000+0000,FALSE,0.00741721,0,1.52E-29,0.224544498,A
TISTUD-5886,Improvement,2013-12-11T22:45:06.000+0000,FALSE,0.003031548,0,2.01E-31,0.105409349,A
TISTUD-6890,Bug,2014-09-05T21:03:25.000+0000,FALSE,0.00197447,0,1,0.071203479,A
TISTUD-6144,Bug,2014-02-10T07:01:48.000+0000,FALSE,0.010837646,0,4.84E-25,0.298028869,A
TISTUD-7477,Bug,2015-05-05T09:26:54.000+0000,FALSE,0.002184911,0,1.03E-32,0.078214152,A
TISTUD-5312,Improvement,2013-08-27T00:38:45.000+0000,FALSE,0.004248409,0,6.49E-30,0.141872685,A
TISTUD-6689,Improvement,2014-07-07T20:31:06.000+0000,FALSE,0.005236429,0,6.27E-25,0.169421254,A
TISTUD-8934,Bug,2017-11-28T22:41:03.000+0000,FALSE,0.001818239,0,2.03E-25,0.065931337,A
TISTUD-8836,Improvement,2017-08-02T04:19:24.000+0000,FALSE,0.005043961,0,1.31E-34,0.164190113,A
TISTUD-273,Improvement,2011-04-06T10:42:00.000+0000,FALSE,0.015189384,0,8.28E-21,0.374087273,A
TISTUD-6251,Bug,2014-03-12T06:27:10.000+0000,FALSE,0.001303782,0,1.53E-25,0.048151625,A
TISTUD-6280,Bug,2014-03-31T19:51:06.000+0000,FALSE,0.001896738,0,1.08E-25,0.068587595,A
TISTUD-3421,Story,2013-02-01T01:19:56.000+0000,FALSE,0.001049966,0,5.01E-29,0.039135033,A
TISTUD-5833,Improvement,2013-12-03T22:32:42.000+0000,FALSE,0.007348708,0,4.53E-31,0.222921075,A
TISTUD-5469,Improvement,2013-10-04T21:44:05.000+0000,FALSE,0.018619811,0,1.11E-33,0.423699907,A
TISTUD-5614,Bug,2013-10-28T18:55:08.000+0000,FALSE,0.00111762,0,2.91E-23,0.041554589,A
TISTUD-6109,Bug,2014-01-29T02:27:58.000+0000,FALSE,0.00758443,0,1.39E-26,0.228480042,A
TISTUD-6272,Story,2014-03-25T01:09:38.000+0000,FALSE,0.011884543,0,1.12E-29,0.31790201,A
TISTUD-7899,Bug,2015-12-02T08:08:11.000+0000,FALSE,0.002926443,0,1.59E-33,0.102118332,A
TISTUD-5936,Bug,2013-12-18T21:59:29.000+0000,FALSE,0.004424463,0,1.65E-26,0.146910438,A
TISTUD-5225,Bug,2013-08-08T22:26:40.000+0000,FALSE,0.00457349,0,1,0.151130207,A
TISTUD-7473,Bug,2015-05-04T05:13:01.000+0000,FALSE,0.001843034,0,8.05E-28,0.066771937,A
TISTUD-3970,Improvement,2013-03-28T06:17:16.000+0000,FALSE,0.005620051,0,6.01E-30,0.179660709,A
TISTUD-4793,Bug,2013-05-28T12:35:54.000+0000,FALSE,0.004183822,0,4.02E-31,0.140010016,A
TISTUD-4014,Improvement,2013-03-29T23:08:59.000+0000,FALSE,0.002643649,0,1.63E-32,0.093145671,A
TISTUD-5457,Story,2013-09-30T23:24:45.000+0000,FALSE,0.004155389,0,1.51E-26,0.139187542,A
TISTUD-5999,Bug,2014-01-09T00:26:56.000+0000,FALSE,0.000560154,0,2.89E-30,0.021256486,A
TISTUD-8926,Improvement,2017-11-24T03:53:14.000+0000,FALSE,0.009647468,0,4.00E-34,0.274037233,A
TISTUD-4956,Story,2013-06-14T20:57:11.000+0000,FALSE,0.00559644,0,3.92E-31,0.179037557,A
TISTUD-8524,Improvement,2016-06-20T07:23:03.000+0000,FALSE,0.006155679,0,6.27E-31,0.19355489,A
TISTUD-5849,Bug,2013-12-05T02:06:16.000+0000,FALSE,0.003651201,0,4.63E-32,0.124345187,A
TISTUD-5077,Improvement,2013-07-03T14:18:17.000+0000,FALSE,0.001783536,0,6.53E-21,0.064752328,A
TISTUD-5913,Improvement,2013-12-13T21:43:29.000+0000,FALSE,0.007004785,0,8.11E-24,0.214670071,A
TISTUD-6580,Improvement,2014-05-30T15:29:07.000+0000,FALSE,0.005494666,0,9.69E-30,0.176341019,A
