"var","rank","project"
"text_gaussian",1,"DM"
"reporter_stable_sp_rate",2,"DM"
"assignee_stable_sp_rate",3,"DM"
"text_bernoulli",4,"DM"
"text_complement",5,"DM"
"firststorypoints",6,"DM"
"reporter_bugnum",7,"DM"
"collab_out_degree",7,"DM"
"sp_diff",8,"DM"
"assignee_bugnum",9,"DM"
"reporter_recent_bugnum",10,"DM"
"LINK",10,"DM"
"collab_kcore",11,"DM"
"lix",11,"DM"
"has_TESTCASE",11,"DM"
"wordsDiff",12,"DM"
"flesch",12,"DM"
"TASK",12,"DM"
"has_CODE",12,"DM"
"collab_closeness",12,"DM"
"collab_betweenness",13,"DM"
"assignee_recent_bugnum",14,"DM"
"count_summ_before",14,"DM"
"has_ATTACHMENT",14,"DM"
"has_STACK",15,"DM"
"STEP",15,"DM"
