"var","rank","project"
"text_gaussian",1,"ME"
"reporter_stable_sp_rate",2,"ME"
"assignee_stable_sp_rate",3,"ME"
"text_complement",4,"ME"
"reporter_recent_bugnum",4,"ME"
"STEP",5,"ME"
"LINK",5,"ME"
"collab_in_degree",5,"ME"
"collab_kcore",5,"ME"
"TASK",6,"ME"
"reporter_bugnum",6,"ME"
"assignee_recent_bugnum",6,"ME"
"collab_betweenness",6,"ME"
"count_summ_before",7,"ME"
"firststorypoints",7,"ME"
"smog",7,"ME"
"has_CODE",8,"ME"
"text_bernoulli",8,"ME"
"colemanlieu",8,"ME"
"assignee_bugnum",8,"ME"
"has_ATTACHMENT",8,"ME"
"collab_closeness",8,"ME"
"has_TESTCASE",8,"ME"
"has_STACK",8,"ME"
"sp_diff",9,"ME"
"wordsDiff",10,"ME"
