"var","rank","project"
"text_gaussian",1,"MU"
"sp_sprint",2,"MU"
"reporter_stable_sp_rate",2,"MU"
"text_bernoulli",3,"MU"
"assignee_stable_sp_rate",4,"MU"
"text_multinomial",5,"MU"
"has_TESTCASE",6,"MU"
"reporter_recent_bugnum",6,"MU"
"count_summ_before",6,"MU"
"collab_kcore",7,"MU"
"colemanlieu",7,"MU"
"has_ATTACHMENT",7,"MU"
"assignee_recent_bugnum",8,"MU"
"sp_diff",8,"MU"
"reporter_bugnum",9,"MU"
"STEP",9,"MU"
"has_CODE",10,"MU"
"wordsDiff",10,"MU"
"smog",10,"MU"
"TASK",10,"MU"
"LINK",11,"MU"
"collab_closeness",11,"MU"
"collab_in_degree",11,"MU"
"collab_betweenness",12,"MU"
"lix",12,"MU"
"has_STACK",12,"MU"
