"var","rank","project"
"reporter_stable_sp_rate",1,"TI"
"text_gaussian",2,"TI"
"assignee_stable_sp_rate",3,"TI"
"STEP",4,"TI"
"text_multinomial",5,"TI"
"OB",5,"TI"
"collab_closeness",5,"TI"
"collab_in_degree",6,"TI"
"has_CODE",7,"TI"
"EB",7,"TI"
"collab_eigen_vector",8,"TI"
"has_ATTACHMENT",8,"TI"
"reporter_bugnum",8,"TI"
"colemanlieu",8,"TI"
"TASK",8,"TI"
"text_bernoulli",8,"TI"
"collab_betweenness",8,"TI"
"sp_diff",8,"TI"
"assignee_recent_bugnum",8,"TI"
"smog",8,"TI"
"LINK",8,"TI"
"sp_sprint",9,"TI"
"count_summ_before",9,"TI"
"wordsDiff",9,"TI"
"has_STACK",9,"TI"
"has_TESTCASE",10,"TI"
