"var","rank","project"
"reporter_stable_sp_rate",1,"XD"
"text_gaussian",2,"XD"
"assignee_stable_sp_rate",3,"XD"
"reporter_recent_bugnum",4,"XD"
"text_multinomial",5,"XD"
"text_bernoulli",6,"XD"
"has_ATTACHMENT",6,"XD"
"TASK",6,"XD"
"collab_kcore",6,"XD"
"has_TESTCASE",7,"XD"
"LINK",7,"XD"
"assignee_recent_bugnum",8,"XD"
"collab_out_degree",8,"XD"
"colemanlieu",9,"XD"
"reporter_bugnum",10,"XD"
"collab_closeness",10,"XD"
"sp_diff",10,"XD"
"has_CODE",10,"XD"
"has_STACK",10,"XD"
"STEP",11,"XD"
"count_summ_before",11,"XD"
"wordsDiff",12,"XD"
"sp_sprint",12,"XD"
"lix",12,"XD"
