"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","greaterOrEqual,2.00345092220232"
"flesch","numeric","lowerOrEqual,51.1026049219806"
"lix","numeric","greaterOrEqual,50.3933240627528"
"text_gaussian","numeric","greaterOrEqual,4.01829564875865e-290"
"text_bernoulli","numeric","greaterOrEqual,0.00528532879162235"
"text_complement","numeric","greaterOrEqual,0.323835169991134"
"reporter_bugnum","numeric","greaterOrEqual,47.0216529541649"
"reporter_recent_bugnum","numeric","lowerOrEqual,8.98874256294221"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.846135851417889"
"assignee_bugnum","numeric","greaterOrEqual,38.2407316532917"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.98857233626768"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.872226407179069"
"count_summ_before","numeric","lowerOrEqual,0.588398363091983"
"wordsDiff","numeric","lowerOrEqual,-0.00349898380227387"
"sp_diff","numeric","lowerOrEqual,-0.0266817109659314"
"collab_betweenness","numeric","greaterOrEqual,0.544862792860925"
"collab_closeness","numeric","greaterOrEqual,0.750021546922373"
"collab_kcore","numeric","lowerOrEqual,1.98579478124157"
"collab_out_degree","numeric","lowerOrEqual,21.9517976939678"
