"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","lowerOrEqual,2.98992374073714"
"colemanlieu","numeric","greaterOrEqual,15.79"
"smog","numeric","lowerOrEqual,13.4533295319314"
"text_gaussian","numeric","lowerOrEqual,0.491922505781986"
"text_bernoulli","numeric","greaterOrEqual,2.43293254747859e-10"
"text_complement","numeric","greaterOrEqual,0.153526166424466"
"reporter_bugnum","numeric","greaterOrEqual,19.2218617897015"
"reporter_recent_bugnum","numeric","lowerOrEqual,4.95820351643488"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.938282945286599"
"assignee_bugnum","numeric","lowerOrEqual,14.9926174916327"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.84039135929197"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.93798338202735"
"count_summ_before","numeric","lowerOrEqual,0.570063679013401"
"wordsDiff","numeric","lowerOrEqual,-0.0101920573506504"
"sp_diff","numeric","lowerOrEqual,-0.0092569044791162"
"collab_betweenness","numeric","greaterOrEqual,0.356971484759095"
"collab_closeness","numeric","lowerOrEqual,0.481481481481482"
"collab_in_degree","numeric","lowerOrEqual,23.8863470458891"
"collab_kcore","numeric","lowerOrEqual,1.94862203299999"
