"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,55.0106785088852"
"colemanlieu","numeric","greaterOrEqual,15.3895"
"text_multinomial","numeric","greaterOrEqual,0.0451780756254336"
"text_gaussian","numeric","greaterOrEqual,1.25703090168284e-92"
"text_bernoulli","numeric","greaterOrEqual,0.0001747760482904"
"reporter_bugnum","numeric","greaterOrEqual,51.0253144244198"
"reporter_recent_bugnum","numeric","greaterOrEqual,11.0134186588693"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.908584557748823"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.99717840575613"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.907030417285257"
"count_summ_before","numeric","lowerOrEqual,0.806282054865733"
"wordsDiff","numeric","lowerOrEqual,-0.101760265417397"
"sp_diff","numeric","lowerOrEqual,-0.295751990517601"
"sp_sprint","numeric","greaterOrEqual,4.07117071864195"
"collab_betweenness","numeric","greaterOrEqual,0.295676918692164"
"collab_closeness","numeric","lowerOrEqual,0.466267397840873"
"collab_in_degree","numeric","greaterOrEqual,15.0208425195888"
"collab_kcore","numeric","lowerOrEqual,1.99655124661513"
