"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"colemanlieu","numeric","greaterOrEqual,19.4807930154155"
"smog","numeric","lowerOrEqual,12.4593491359526"
"text_multinomial","numeric","greaterOrEqual,0.00549491176110938"
"text_gaussian","numeric","lowerOrEqual,0.467910238308832"
"text_bernoulli","numeric","greaterOrEqual,3.84683436946552e-16"
"reporter_bugnum","numeric","lowerOrEqual,14.3925225217827"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.973317011605704"
"assignee_recent_bugnum","numeric","lowerOrEqual,11.9737248974852"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.957524536207299"
"count_summ_before","numeric","greaterOrEqual,0.00939361285418272"
"wordsDiff","numeric","lowerOrEqual,-0.0815820342395455"
"sp_diff","numeric","lowerOrEqual,-0.5"
"sp_sprint","numeric","lowerOrEqual,4.89349331427366"
"collab_betweenness","numeric","lowerOrEqual,0.263884038593935"
"collab_closeness","numeric","greaterOrEqual,0.413121633449426"
"collab_eigen_vector","numeric","lowerOrEqual,0.413062799556278"
"collab_in_degree","numeric","greaterOrEqual,22.5895575759932"
