"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"lix","numeric","lowerOrEqual,44.9081632653061"
"colemanlieu","numeric","lowerOrEqual,12.06015"
"text_bernoulli","numeric","greaterOrEqual,3.17819058107867e-17"
"text_complement","numeric","greaterOrEqual,0.191236298437908"
"reporter_recent_bugnum","numeric","greaterOrEqual,2.06333076860756"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.980769230769231"
"assignee_bugnum","numeric","lowerOrEqual,31.9776330520399"
"assignee_recent_bugnum","numeric","greaterOrEqual,9.28253407264128"
"count_summ_before","numeric","lowerOrEqual,1.87925001000986"
"sp_sprint","numeric","lowerOrEqual,4.67855885392055"
