"varname","cls","rule"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,3.0509883291088"
"lix","numeric","lowerOrEqual,48.7800433907563"
"text_gaussian","numeric","lowerOrEqual,0.380364356795326"
"text_bernoulli","numeric","greaterOrEqual,0.0001312657888751"
"text_complement","numeric","greaterOrEqual,0.428578745023071"
"reporter_bugnum","numeric","lowerOrEqual,16"
"reporter_recent_bugnum","numeric","lowerOrEqual,8.90702985599637"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.858245451111488"
"assignee_recent_bugnum","numeric","lowerOrEqual,4.47935342090204"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.851851798160674"
"count_comment_before","numeric","lowerOrEqual,-0.0690017563756555"
"count_summ_before","numeric","lowerOrEqual,0.724025641335174"
"wordsDiff","numeric","lowerOrEqual,15.1238794745877"
"sp_diff","numeric","lowerOrEqual,-2"
"collab_betweenness","numeric","greaterOrEqual,0.402733287016956"
"collab_closeness","numeric","greaterOrEqual,0.823529411764706"
"collab_in_degree","numeric","lowerOrEqual,6.99999181367457"
