"issue_key","issuetype","created","reporter","sp_estimator","reporter_bugnum","reporter_recent_bugnum","reporter_stable_sp_rate","estimator_bugnum","estimator_recent_bugnum","estimator_stable_sp_rate","assignee_bugnum","assignee_recent_bugnum","assignee_stable_sp_rate"
"MDL-55173","Task","2016-07-11T07:50:32.000+0000","dobedobedoh","dobedobedoh",31,0,0.9375,31,0,0.9375,35,0,0.9444444444444444
"MDL-55126","Task","2016-07-05T13:42:12.000+0000","marina","marina",16,1,0.8235294117647058,16,1,0.8235294117647058,0,0,0
"MDL-54988","Task","2016-06-22T15:42:31.000+0000","marina","marina",15,0,0.8235294117647058,15,0,0.8235294117647058,0,0,0
"MDL-54984","Task","2016-06-22T06:44:14.000+0000","stronk7","stronk7",12,0,0.9230769230769231,12,0,0.9230769230769231,0,0,0
"MDL-54915","Bug","2016-06-14T13:38:33.000+0000","gormster","gormster",0,0,1.0,0,0,1.0,0,0,0
"MDL-54847","Bug","2016-06-07T04:10:48.000+0000","brian.winstead","brian.winstead",0,0,1.0,0,0,1.0,0,0,0
"MDL-53196","Task","2016-02-22T18:07:58.000+0000","fred","fred",93,26,0.8723404255319149,93,26,0.8723404255319149,0,0,0
"MDL-53195","Bug","2016-02-22T17:56:59.000+0000","jpataleta","jpataleta",0,0,1.0,0,0,1.0,0,0,0
"MDL-53194","Task","2016-02-22T17:54:33.000+0000","fred","fred",92,25,0.8723404255319149,92,25,0.8723404255319149,0,0,0
"MDL-53193","Task","2016-02-22T17:52:12.000+0000","fred","fred",91,24,0.8723404255319149,91,24,0.8723404255319149,0,0,0
"MDL-53192","Task","2016-02-22T17:40:44.000+0000","fred","fred",90,23,0.8723404255319149,90,23,0.8723404255319149,0,0,0
"MDL-53190","Task","2016-02-22T17:25:06.000+0000","fred","fred",89,22,0.8723404255319149,89,22,0.8723404255319149,0,0,0
"MDL-53189","Task","2016-02-22T15:34:13.000+0000","fred","fred",88,21,0.8723404255319149,88,21,0.8723404255319149,0,0,0
"MDL-53188","Task","2016-02-22T15:28:39.000+0000","fred","fred",87,20,0.8723404255319149,87,20,0.8723404255319149,0,0,0
"MDL-53187","Task","2016-02-22T15:11:10.000+0000","fred","fred",86,19,0.8723404255319149,86,19,0.8723404255319149,0,0,0
"MDL-53186","Task","2016-02-22T15:09:18.000+0000","fred","fred",85,18,0.8723404255319149,85,18,0.8723404255319149,0,0,0
"MDL-53185","Improvement","2016-02-22T14:40:58.000+0000","damyon","damyon",101,7,0.9215686274509803,101,7,0.9215686274509803,0,0,0
"MDL-53182","Task","2016-02-22T13:09:24.000+0000","fred","fred",84,18,0.8723404255319149,84,18,0.8723404255319149,0,0,0
"MDL-53163","Task","2016-02-19T03:57:41.000+0000","taboubii","taboubii",0,0,1.0,0,0,1.0,0,0,0
"MDL-53084","Bug","2016-02-12T10:59:56.000+0000","fred","fred",83,20,0.8723404255319149,83,20,0.8723404255319149,0,0,0
"MDL-53070","Bug","2016-02-11T06:03:11.000+0000","gaudreaj","gaudreaj",9,6,0.9,9,6,0.9,0,0,0
"MDL-53019","Task","2016-02-07T23:22:00.000+0000","stronk7","stronk7",11,0,0.9230769230769231,11,0,0.9230769230769231,0,0,1.0
"MDL-52979","Improvement","2016-02-03T12:08:38.000+0000","damyon","damyon",100,6,0.9215686274509803,100,6,0.9215686274509803,0,0,0
"MDL-52960","Task","2016-02-01T19:07:44.000+0000","fred","fred",82,22,0.8723404255319149,82,22,0.8723404255319149,0,0,0
"MDL-52959","Task","2016-02-01T19:03:49.000+0000","fred","fred",81,21,0.8723404255319149,81,21,0.8723404255319149,0,0,0
"MDL-52861","Task","2016-01-21T17:51:27.000+0000","fred","fred",80,24,0.8723404255319149,80,24,0.8723404255319149,0,0,0
"MDL-52860","Task","2016-01-21T17:44:21.000+0000","fred","fred",79,23,0.8723404255319149,79,23,0.8723404255319149,0,0,0
"MDL-52847","Bug","2016-01-20T23:38:00.000+0000","sergeg55","sergeg55",3,1,0.75,3,1,0.75,0,0,0
"MDL-52803","Task","2016-01-18T14:40:57.000+0000","fred","fred",78,26,0.8723404255319149,78,26,0.8723404255319149,0,0,0
"MDL-52775","Bug","2016-01-15T09:22:31.000+0000","damyon","damyon",99,5,0.9215686274509803,99,5,0.9215686274509803,0,0,0
