"collab_betweenness","collab_closeness","collab_clustering_coeff","collab_eigen_vector","collab_in_degree","collab_kcore","collab_out_degree","collab_total_degree","issue_key","reporter"
0.23809523809523808,0.2857142857142857,0.0,0.0,2.0,1.0,5.0,7.0,"CLOV-1956","mparfianowicz"
0.23809523809523808,0.2857142857142857,0.0,0.0,2.0,1.0,5.0,7.0,"CLOV-1953","mparfianowicz"
0.23809523809523808,0.2857142857142857,0.0,0.0,2.0,1.0,5.0,7.0,"CLOV-1951","mparfianowicz"
0.41666666666666663,0.5,0.0,0.500000953675428,2.0,2.0,3.0,5.0,"CLOV-1892","glewandowski"
0.41666666666666663,0.5,0.0,0.500000953675428,2.0,2.0,3.0,5.0,"CLOV-1890","glewandowski"
0.41666666666666663,0.5,0.0,0.500000953675428,2.0,2.0,3.0,5.0,"CLOV-1888","glewandowski"
0.41666666666666663,0.5,0.0,0.500000953675428,2.0,2.0,3.0,5.0,"CLOV-1887","glewandowski"
0.29583333333333334,0.5,0.0,0.3162311437275374,8.0,2.0,9.0,17.0,"CLOV-1884","mparfianowicz"
0.3571428571428571,0.5714285714285714,0.0,0.44721523324999424,4.0,2.0,4.0,8.0,"CLOV-1861","glewandowski"
0.3571428571428571,0.5714285714285714,0.0,0.44721523324999424,4.0,2.0,4.0,8.0,"CLOV-1859","glewandowski"
0.3571428571428571,0.5714285714285714,0.0,0.44721523324999424,4.0,2.0,4.0,8.0,"CLOV-1852","glewandowski"
0.3571428571428571,0.5714285714285714,0.0,0.44721523324999424,4.0,2.0,4.0,8.0,"CLOV-1848","glewandowski"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CLOV-1834","yugeshreddy88877890536"
0.2777777777777778,0.42105263157894735,0.0,0.2773561749955592,8.0,2.0,12.0,20.0,"CLOV-1827","mparfianowicz"
0.2777777777777778,0.42105263157894735,0.0,0.2773561749955592,8.0,2.0,12.0,20.0,"CLOV-1825","mparfianowicz"
0.2777777777777778,0.42105263157894735,0.0,0.2773561749955592,8.0,2.0,12.0,20.0,"CLOV-1824","mparfianowicz"
0.2777777777777778,0.42105263157894735,0.0,0.2773561749955592,8.0,2.0,12.0,20.0,"CLOV-1817","mparfianowicz"
0.25,0.3076923076923077,0.0,0.30151385406886294,4.0,2.0,10.0,14.0,"CLOV-1804","glewandowski"
0.22380952380952382,0.26666666666666666,0.0,0.2773547859707142,4.0,2.0,12.0,16.0,"CLOV-1797","glewandowski"
0.25905797101449274,0.375,0.0,0.24254119812918304,9.0,2.0,16.0,25.0,"CLOV-1794","mparfianowicz"
0.25905797101449274,0.375,0.0,0.24254119812918304,9.0,2.0,16.0,25.0,"CLOV-1793","mparfianowicz"
0.25905797101449274,0.375,0.0,0.24254119812918304,9.0,2.0,16.0,25.0,"CLOV-1792","mparfianowicz"
0.24769230769230768,0.34615384615384615,0.0,0.22942104017159987,9.0,2.0,18.0,27.0,"CLOV-1780","mparfianowicz"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"CLOV-1779","jjathman"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CLOV-1776","ronan4"
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,"CLOV-1775","jwesley"
0.24216524216524218,0.3333333333333333,0.0,0.22361198405950378,9.0,2.0,19.0,28.0,"CLOV-1771","mparfianowicz"
0.25,0.35714285714285715,0.0,0.223612101932936,10.0,2.0,19.0,29.0,"CLOV-1766","mparfianowicz"
0.2125,0.25,0.0,0.2672657861351834,4.0,2.0,13.0,17.0,"CLOV-1761","glewandowski"
0.20220588235294118,0.23529411764705882,0.0,0.25820330239759964,4.0,2.0,14.0,18.0,"CLOV-1757","glewandowski"
