"EB","LINK","OB","STEP","TASK","created_x","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype_x","issuetype_y","created_y","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog","issuetype_x.1","created_x.1","reporter_x","sp_estimator","reporter_bugnum","reporter_recent_bugnum","reporter_stable_sp_rate","estimator_bugnum","estimator_recent_bugnum","estimator_stable_sp_rate","assignee_bugnum","assignee_recent_bugnum","assignee_stable_sp_rate","issuetype_y.1","created_y.1","sp_change","text_multinomial","text_gaussian","text_bernoulli","text_complement","GROUP","collab_betweenness","collab_closeness","collab_clustering_coeff","collab_eigen_vector","collab_in_degree","collab_kcore","collab_out_degree","collab_total_degree","reporter_y","count_comment_before","count_summ_before","wordsDiff","firststorypoints","sp_sprint","sp_diff","type"
0,0,0,0,0,"2013-07-03T14:12:57.000+0000",False,False,False,False,"TISTUD-5069","Improvement","Improvement","2013-07-03T14:12:57.000+0000",158,68.5943,15.098,45.392156862745104,10.7306,13.599196078431374,9.2304,11.94427190999916,"Improvement","2013-07-03T14:12:57.000+0000","cwilliams","cwilliams",18,16,0.9615384615384616,18,16,0.9615384615384616,8,6,0.9692307692307692,"Improvement","2013-07-03T14:12:57.000+0000",False,0.0025983465748217,0.0,2.1727066496409292e-14,0.0820991630947782,"A",0.2939814814814814,0.3209876543209876,0.0,0.4520011091953713,26.0,2.0,74.0,100.0,"cwilliams",0,1,0,5.0,5.0,0.0,"train"
1,0,1,2,0,"2013-11-04T18:42:32.000+0000",False,False,False,False,"TISTUD-5642","Bug","Bug","2013-11-04T18:42:32.000+0000",71,61.8498,11.7941,47.13235294117647,9.9116,13.29911764705882,12.9312,10.24568837309472,"Bug","2013-11-04T18:42:32.000+0000","sdowse","sdowse",2,1,1.0,2,1,1.0,34,22,0.9807692307692308,"Bug","2013-11-04T18:42:32.000+0000",False,0.0010263247091081,0.0,2.5653355181517293e-22,0.0340715331349275,"A",0.4331436699857753,0.7105263157894737,0.0,0.5855423063501017,27.0,2.0,23.0,50.0,"sdowse",0,0,0,3.0,3.0,0.0,"train"
0,0,0,0,0,"2017-10-21T04:05:21.000+0000",True,False,False,False,"TISTUD-8898","Bug","Bug","2017-10-21T04:05:21.000+0000",50,83.5524,9.3308,34.64779874213836,5.9943,9.798050314465408,10.5072,8.477225575051662,"Bug","2017-10-21T04:05:21.000+0000","morahman","morahman",0,0,1.0,0,0,1.0,119,19,0.9542857142857144,"Bug","2017-10-21T04:05:21.000+0000",False,0.0130387166714397,0.0,2.9401577681604314e-20,0.3120417895846537,"A",0.25,0.75,0.0,0.0,3.0,1.0,1.0,4.0,"morahman",0,1,0,13.0,13.0,0.0,"train"
0,1,0,0,0,"2017-06-14T06:08:38.000+0000",False,True,True,False,"TISTUD-8794","Bug","Bug","2017-06-14T06:08:38.000+0000",158,-109.5255,24.5246,76.69615384615385,38.8705,74.88850961538459,77.9171,18.68438714135813,"Bug","2017-06-14T06:08:38.000+0000","kkolipaka","kkolipaka",51,4,0.9393939393939394,51,4,0.9393939393939394,98,8,0.9542857142857144,"Bug","2017-06-14T06:08:38.000+0000",False,0.0051361623747793,0.0,0.212610406558384,0.1505641734459892,"A",0.1926530612244898,0.2,0.0,0.3779618191202792,10.0,2.0,48.0,58.0,"kkolipaka",0,3,42,5.0,3.0,-2.0,"train"
0,0,0,5,0,"2013-09-17T16:10:48.000+0000",False,False,False,False,"TISTUD-5401","Bug","Bug","2013-09-17T16:10:48.000+0000",78,89.4955,14.1569,38.921568627450974,7.8153,12.463254901960788,7.8099,10.745966692414834,"Bug","2013-09-17T16:10:48.000+0000","dcassenti","dcassenti",0,0,1.0,0,0,1.0,74,38,1.0,"Bug","2013-09-17T16:10:48.000+0000",False,0.0075902766346267,0.0,2.274533704932501e-18,0.2079789145915436,"A",0.1111111111111111,0.8888888888888888,0.0,0.0,8.0,1.0,1.0,9.0,"dcassenti",0,0,0,5.0,5.0,0.0,"train"
0,0,0,5,0,"2013-09-17T16:10:48.000+0000",False,False,False,False,"TISTUD-5401","Bug","Bug","2013-09-17T16:10:48.000+0000",78,89.4955,14.1569,38.921568627450974,7.8153,12.463254901960788,7.8099,10.745966692414834,"Bug","2013-09-17T16:10:48.000+0000","dcassenti","dcassenti",0,0,1.0,0,0,1.0,74,38,1.0,"Bug","2013-09-17T16:10:48.000+0000",False,0.0144866410215609,0.0,3.652604903697848e-20,0.3354094602237116,"B",0.1111111111111111,0.8888888888888888,0.0,0.0,8.0,1.0,1.0,9.0,"dcassenti",0,0,0,5.0,5.0,0.0,"train"
1,0,1,2,0,"2015-08-25T04:45:46.000+0000",False,False,False,False,"TISTUD-7683","Bug","Bug","2015-08-25T04:45:46.000+0000",111,74.6175,13.2175,44.80840336134454,8.7643,11.566050420168068,9.3208,11.12403840463596,"Bug","2015-08-25T04:45:46.000+0000","ssekhri","ssekhri",8,1,0.8918918918918919,8,1,0.8918918918918919,17,5,0.9542857142857144,"Bug","2015-08-25T04:45:46.000+0000",False,0.0047294101385931,0.0,8.459543757624516e-24,0.1402641859827537,"A",0.3560975609756097,0.4390243902439024,0.0,0.4822448694370116,18.0,2.0,33.0,51.0,"ssekhri",0,0,0,3.0,3.0,0.0,"train"
1,1,1,2,0,"2015-08-04T06:46:07.000+0000",True,False,False,False,"TISTUD-7659","Bug","Bug","2015-08-04T06:46:07.000+0000",41,51.173,10.4,44.0,8.606,13.902400000000007,19.1316,9.928203230275509,"Bug","2015-08-04T06:46:07.000+0000","sliang","sliang",1,1,1.0,1,1,1.0,1,0,0.8333333333333334,"Bug","2015-08-04T06:46:07.000+0000",False,0.0024820794280008,0.0,4.395962759786303e-24,0.0787062237350792,"B",0.1636363636363636,0.8181818181818182,0.0,0.0,9.0,1.0,2.0,11.0,"sliang",0,1,0,5.0,5.0,0.0,"train"
0,0,0,0,0,"2014-01-29T20:57:24.000+0000",False,False,False,False,"TISTUD-6108","Story","Story","2014-01-29T20:57:24.000+0000",68,64.3272,16.7918,48.82876712328767,13.3546,15.91808219178082,7.2608,10.745966692414834,"Story","2014-01-29T20:57:24.000+0000","mxia","mxia",51,2,0.9807692307692308,51,2,0.9807692307692308,48,14,0.9807692307692308,"Story","2014-01-29T20:57:24.000+0000",False,0.0064170065643556,0.0,4.1691482202465973e-23,0.1814953337695692,"A",0.0,1.0,0.0,0.0,13.0,1.0,0.0,13.0,"mxia",0,0,0,3.0,3.0,0.0,"train"
0,0,0,0,0,"2017-08-02T04:12:05.000+0000",True,False,False,False,"TISTUD-8835","Improvement","Improvement","2017-08-02T04:12:05.000+0000",46,72.1032,9.241,36.56410256410256,7.5085,12.145320512820511,13.6183,8.477225575051662,"Improvement","2017-08-02T04:12:05.000+0000","kkolipaka","kkolipaka",53,4,0.9393939393939394,53,4,0.9393939393939394,100,8,0.9542857142857144,"Improvement","2017-08-02T04:12:05.000+0000",False,0.0092372053868325,0.0,2.2569783787625522e-24,0.2424821404745209,"A",0.1782945736434108,0.1860465116279069,0.0,0.3572930322008352,8.0,2.0,41.0,49.0,"kkolipaka",0,3,13,5.0,5.0,0.0,"train"
