"issue_key","issuetype","created","reporter","sp_estimator","reporter_bugnum","reporter_recent_bugnum","reporter_stable_sp_rate","estimator_bugnum","estimator_recent_bugnum","estimator_stable_sp_rate","assignee_bugnum","assignee_recent_bugnum","assignee_stable_sp_rate"
"TDQ-16758","Work Item","2019-03-20T06:41:46.000-0500","sizhaoliu","sizhaoliu",47,2,0.8333333333333334,47,2,0.8333333333333334,0,0,1.0
"TDQ-16603","Work Item","2019-02-07T04:18:39.000-0600","dprot","dprot",16,0,0.9411764705882353,16,0,0.9411764705882353,0,0,0
"TDQ-16473","Work Item","2019-01-16T08:43:04.000-0600","sizhaoliu","sizhaoliu",46,2,0.8333333333333334,46,2,0.8333333333333334,0,0,0
"TDQ-16472","Work Item","2019-01-16T08:38:27.000-0600","scorreia","scorreia",337,2,0.893491124260355,338,2,0.8908554572271387,0,0,0
"TDQ-16445","Work Item","2019-01-14T08:02:29.000-0600","sizhaoliu","sizhaoliu",45,1,0.8333333333333334,45,1,0.8333333333333334,0,0,0
"TDQ-16354","Work Item","2018-12-21T01:40:23.000-0600","xqliu","xqliu",51,2,0.9038461538461539,51,2,0.9038461538461539,0,0,0
"TDQ-16326","Work Item","2018-12-18T02:41:08.000-0600","xqliu","xqliu",50,1,0.9038461538461539,50,1,0.9038461538461539,99,4,0.85
"TDQ-16304","Work Item","2018-12-14T01:25:46.000-0600","yyin","yyin",6,2,1.0,6,2,1.0,0,0,1.0
"TDQ-16300","Work Item","2018-12-13T00:37:28.000-0600","qiongli","qiongli",25,0,0.9615384615384616,25,0,0.9615384615384616,98,3,0.85
"TDQ-16235","Work Item","2018-12-04T01:12:30.000-0600","yyin","yyin",5,1,1.0,5,1,1.0,0,0,0
"TDQ-16219","Work Item","2018-11-29T10:22:44.000-0600","scorreia","scorreia",336,1,0.893491124260355,337,1,0.8908554572271387,0,0,0
"TDQ-16218","Work Item","2018-11-29T10:22:09.000-0600","scorreia","scorreia",335,0,0.893491124260355,336,0,0.8908554572271387,0,0,0
"TDQ-16217","Work Item","2018-11-29T08:10:45.000-0600","sizhaoliu","sizhaoliu",44,0,0.8333333333333334,44,0,0.8333333333333334,0,0,0
"TDQ-16208","Work Item","2018-11-27T21:55:33.000-0600","xqliu","xqliu",49,1,0.9038461538461539,49,1,0.9038461538461539,0,0,1.0
"TDQ-16188","Work Item","2018-11-22T01:42:34.000-0600","xywang","xywang",8,3,0.8888888888888888,8,3,0.8888888888888888,97,7,0.85
"TDQ-16108","Work Item","2018-11-08T01:33:27.000-0600","xywang","xywang",7,2,0.8888888888888888,7,2,0.8888888888888888,96,6,0.85
"TDQ-16086","New Feature","2018-11-05T01:32:37.000-0600","dprot","dprot",15,0,0.9411764705882353,15,0,0.9411764705882353,0,0,0
"TDQ-16056","Work Item","2018-10-28T22:33:14.000-0500","yyin","yyin",4,0,1.0,4,0,1.0,0,0,0
"TDQ-16007","Work Item","2018-10-15T22:28:52.000-0500","zshen","zshen",20,0,0.7142857142857143,20,0,0.7142857142857143,13,0,0.5
"TDQ-15994","Work Item","2018-10-11T02:05:12.000-0500","xywang","xywang",6,2,0.8888888888888888,6,2,0.8888888888888888,95,8,0.85
