"issue_key","issuetype","created","reporter","sp_estimator","reporter_bugnum","reporter_recent_bugnum","reporter_stable_sp_rate","estimator_bugnum","estimator_recent_bugnum","estimator_stable_sp_rate","assignee_bugnum","assignee_recent_bugnum","assignee_stable_sp_rate"
"USERGRID-1268","Story","2016-02-22T15:48:00.000+0000","djohnson","djohnson",28,1,0.8620689655172413,28,1,0.8620689655172413,33,1,0.8823529411764706
"USERGRID-1267","Story","2016-02-16T17:40:52.000+0000","djohnson","djohnson",27,0,0.8620689655172413,27,0,0.8620689655172413,32,0,0.8823529411764706
"USERGRID-1256","Story","2016-02-08T17:14:13.000+0000","mrusso","mrusso",7,2,1.0,7,2,1.0,8,2,1.0
"USERGRID-1211","Story","2016-01-15T02:24:23.000+0000","mrusso","mrusso",6,2,1.0,6,2,1.0,7,2,1.0
"USERGRID-1210","Story","2016-01-13T20:40:04.000+0000","greyes","greyes",25,4,0.8846153846153846,25,4,0.8846153846153846,26,5,0.8518518518518519
"USERGRID-1203","Story","2016-01-11T16:46:42.000+0000","mrusso","mrusso",5,1,1.0,5,1,1.0,6,1,1.0
"USERGRID-1187","Story","2015-12-30T19:40:02.000+0000","greyes","greyes",24,3,0.8846153846153846,24,3,0.8846153846153846,25,4,0.8518518518518519
"USERGRID-1091","Story","2015-11-04T21:23:48.000+0000","mrusso","mrusso",4,1,1.0,4,1,1.0,5,2,1.0
"USERGRID-1079","Story","2015-10-28T17:28:33.000+0000","tnine","tnine",37,14,0.7894736842105263,37,14,0.7894736842105263,26,7,0.8148148148148148
"USERGRID-1077","Story","2015-10-27T23:43:20.000+0000","greyes","greyes",23,3,0.8846153846153846,23,3,0.8846153846153846,24,3,0.8518518518518519
"USERGRID-1076","Story","2015-10-27T23:32:09.000+0000","greyes","greyes",22,2,0.8846153846153846,22,2,0.8846153846153846,23,2,0.8518518518518519
"USERGRID-1075","Story","2015-10-27T23:27:44.000+0000","greyes","greyes",21,1,0.8846153846153846,21,1,0.8846153846153846,22,1,0.8518518518518519
"USERGRID-1074","Story","2015-10-27T22:11:01.000+0000","tnine","tnine",36,13,0.7894736842105263,36,13,0.7894736842105263,21,0,0.8518518518518519
"USERGRID-1073","Story","2015-10-27T21:46:13.000+0000","tnine","tnine",35,12,0.7894736842105263,35,12,0.7894736842105263,31,10,0.8125
"USERGRID-1072","Story","2015-10-27T21:46:04.000+0000","tnine","tnine",34,11,0.7894736842105263,34,11,0.7894736842105263,30,9,0.8125
"USERGRID-1071","Story","2015-10-27T21:45:54.000+0000","tnine","tnine",33,10,0.7894736842105263,33,10,0.7894736842105263,29,8,0.8125
"USERGRID-1069","Story","2015-10-27T21:41:32.000+0000","safeldm","safeldm",49,7,0.82,49,7,0.82,28,7,0.8125
"USERGRID-1068","Story","2015-10-27T21:40:43.000+0000","tnine","tnine",32,9,0.7894736842105263,32,9,0.7894736842105263,31,3,0.8823529411764706
"USERGRID-1067","Story","2015-10-27T21:35:38.000+0000","tnine","tnine",31,8,0.7894736842105263,31,8,0.7894736842105263,1,1,1.0
"USERGRID-1058","Story","2015-10-22T15:13:54.000+0000","djohnson","djohnson",26,8,0.8620689655172413,26,8,0.8620689655172413,30,9,0.8823529411764706
"USERGRID-1052","Bug","2015-10-21T15:22:36.000+0000","tnine","tnine",30,7,0.7894736842105263,30,7,0.7894736842105263,25,6,0.8148148148148148
"USERGRID-1048","Story","2015-10-13T18:18:37.000+0000","tnine","tnine",29,6,0.7894736842105263,29,6,0.7894736842105263,24,5,0.8148148148148148
"USERGRID-1038","Story","2015-09-28T16:10:07.000+0000","safeldm","safeldm",48,9,0.82,48,9,0.82,27,12,0.8125
"USERGRID-1029","Bug","2015-09-21T17:26:54.000+0000","tnine","tnine",28,6,0.7894736842105263,28,6,0.7894736842105263,23,4,0.8148148148148148
"USERGRID-1027","Bug","2015-09-18T21:51:30.000+0000","greyes","greyes",20,2,0.8846153846153846,20,2,0.8846153846153846,0,0,0
"USERGRID-1023","Story","2015-09-16T18:18:31.000+0000","safeldm","safeldm",47,8,0.82,47,8,0.82,26,11,0.8125
"USERGRID-1022","Story","2015-09-15T19:09:42.000+0000","safeldm","safeldm",46,7,0.82,46,7,0.82,25,10,0.8125
"USERGRID-1018","Story","2015-09-11T23:29:20.000+0000","tnine","tnine",27,7,0.7894736842105263,27,7,0.7894736842105263,0,0,0
"USERGRID-1016","Story","2015-09-11T22:57:59.000+0000","tnine","tnine",26,6,0.7894736842105263,26,6,0.7894736842105263,6,0,0.8571428571428571
"USERGRID-1015","Story","2015-09-11T16:47:48.000+0000","safeldm","safeldm",45,7,0.82,45,7,0.82,24,11,0.8125
"USERGRID-1013","Story","2015-09-10T20:48:43.000+0000","safeldm","safeldm",44,6,0.82,44,6,0.82,0,0,0
"USERGRID-1005","Story","2015-09-08T17:08:07.000+0000","safeldm","safeldm",43,6,0.82,43,6,0.82,23,10,0.8125
"USERGRID-993","Story","2015-09-02T22:31:47.000+0000","tnine","tnine",25,6,0.7894736842105263,25,6,0.7894736842105263,22,5,0.8148148148148148
"USERGRID-992","Story","2015-09-02T20:35:18.000+0000","jeffreyawest","jeffreyawest",39,15,0.925,39,15,0.925,0,0,1.0
"USERGRID-991","Story","2015-09-02T20:25:11.000+0000","jeffreyawest","jeffreyawest",38,14,0.925,38,14,0.925,29,15,0.8823529411764706
"USERGRID-950","Story","2015-08-26T21:53:32.000+0000","mrusso","mrusso",3,3,1.0,3,3,1.0,4,4,1.0
"USERGRID-941","Story","2015-08-25T16:35:28.000+0000","djohnson","djohnson",25,12,0.8620689655172413,25,12,0.8620689655172413,28,15,0.8823529411764706
"USERGRID-938","Story","2015-08-25T14:52:57.000+0000","jeffreyawest","jeffreyawest",37,15,0.925,37,15,0.925,22,11,0.8125
"USERGRID-937","Story","2015-08-25T00:46:41.000+0000","jeffreyawest","jeffreyawest",36,14,0.925,36,14,0.925,3,3,1.0
"USERGRID-909","Story","2015-08-13T18:06:37.000+0000","tnine","tnine",24,6,0.7894736842105263,24,6,0.7894736842105263,21,5,0.8148148148148148
"USERGRID-908","Story","2015-08-11T20:28:08.000+0000","safeldm","safeldm",42,17,0.82,42,17,0.82,21,10,0.8125
"USERGRID-907","Bug","2015-08-11T17:03:13.000+0000","tnine","tnine",23,5,0.7894736842105263,23,5,0.7894736842105263,20,5,0.8148148148148148
"USERGRID-900","Bug","2015-08-04T00:04:50.000+0000","mrusso","mrusso",2,2,1.0,2,2,1.0,19,5,0.8148148148148148
"USERGRID-898","Story","2015-07-28T23:50:27.000+0000","greyes","greyes",19,7,0.8846153846153846,19,7,0.8846153846153846,20,8,0.8518518518518519
"USERGRID-895","Story","2015-07-28T20:20:17.000+0000","djohnson","djohnson",24,14,0.8620689655172413,24,14,0.8620689655172413,27,16,0.8823529411764706
"USERGRID-894","Story","2015-07-28T20:20:11.000+0000","djohnson","djohnson",23,13,0.8620689655172413,23,13,0.8620689655172413,26,15,0.8823529411764706
"USERGRID-893","Story","2015-07-28T20:19:54.000+0000","djohnson","djohnson",22,12,0.8620689655172413,22,12,0.8620689655172413,25,14,0.8823529411764706
